Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,7.85430,7.07448,2.71276,0.83693,2.96347,0.61042,0.86154,297.46299,0.95888,0.97888,0.00000
PCA_KRR,2,7.39371,6.79648,1.32024,0.52816,2.50266,0.64871,0.41261,214.16268,0.97352,0.98655,0.00000
PCA_KRR,3,7.40175,6.79748,0.90216,0.30855,2.71469,0.52292,0.65368,173.15994,0.98263,0.99124,0.00000
PCA_KRR,4,7.57142,6.96771,0.76941,0.23036,2.40461,0.40899,0.22144,181.22417,0.98869,0.99431,0.00000
PCA_LINEAR,1,8.12935,7.34153,4.98549,1.76701,2.52969,0.78530,0.37927,463.79443,0.92929,0.96324,0.00000
PCA_LINEAR,2,8.23125,7.54341,7.20085,2.04530,17.36761,1.65871,5.28929,714.02376,0.91750,0.95690,0.00000
PCA_LINEAR,3,8.17454,7.51059,4.09634,1.53243,3.62842,1.58142,0.34930,290.01249,0.93178,0.96460,0.00000
PCA_LINEAR,4,18.10419,17.81261,20.74697,5.11785,57.61242,4.77677,20.74697,1910.31244,0.83404,0.90948,0.00000
PCA_SVR,1,7.97024,7.07956,3.05099,0.87056,17.60249,0.68458,1.61238,319.23022,0.95742,0.97808,0.00000
PCA_SVR,2,7.36268,6.78683,1.71677,0.48162,4.13254,0.38417,0.99637,210.81179,0.97693,0.98831,0.00000
PCA_SVR,3,7.27521,6.68551,3.14280,0.67508,7.27077,0.50415,1.28368,277.54239,0.96923,0.98428,0.00000
PCA_SVR,4,7.80131,7.27834,1.53609,0.41544,4.10054,0.36944,1.52981,134.29908,0.97841,0.98908,0.00000
PURE_GPR,1,7.75729,6.95091,2.70547,0.88933,2.60428,0.58714,0.60942,284.50336,0.95797,0.97844,0.00000
PURE_GPR,2,7.38316,6.78838,1.55304,0.60513,2.60936,0.72255,0.40728,223.28185,0.97083,0.98517,0.00000
PURE_GPR,3,7.38362,6.76906,1.02999,0.35586,2.75104,0.69706,0.41656,194.12520,0.98139,0.99060,0.00000
PURE_GPR,4,7.56689,6.95793,0.75422,0.19706,2.39197,0.40990,0.00001,181.76786,0.99001,0.99498,0.00000
PURE_KRR,1,7.75664,6.96471,2.67595,0.84562,2.71198,0.55394,0.65144,291.23653,0.95847,0.97866,0.00000
PURE_KRR,2,7.38342,6.78778,1.26052,0.50168,2.49390,0.60732,0.31717,212.67544,0.97461,0.98711,0.00000
PURE_KRR,3,7.40168,6.79136,0.78701,0.27844,2.62175,0.51263,0.52436,171.41248,0.98371,0.99179,0.00000
PURE_KRR,4,7.56952,6.96434,0.76643,0.21421,2.38004,0.40984,0.17900,181.61327,0.98955,0.99475,0.00000
PURE_SVR,1,8.03726,7.26208,2.81685,0.82323,3.20168,0.57221,0.51756,327.05840,0.95893,0.97883,0.00000
PURE_SVR,2,7.47291,6.87414,1.39257,0.47579,2.48227,0.64948,0.21684,245.83655,0.97704,0.98835,0.00000
PURE_SVR,3,7.50281,6.91652,0.80615,0.25668,2.27289,0.51621,0.33190,169.41284,0.98385,0.99186,0.00000
PURE_SVR,4,7.56600,6.95906,0.72417,0.21304,2.27312,0.42616,0.10763,175.06227,0.98886,0.99440,0.00000
RATIO_CTRL,1,3.61362,3.30684,4.63333,1.69811,3.44857,3.08501,0.46142,640.15050,0.94260,0.97037,0.00000
RATIO_CTRL,2,2.87587,2.54188,4.78662,1.70010,4.65123,3.00070,0.25523,712.17495,0.94022,0.96896,0.00000
RATIO_CTRL,3,4.43264,3.66257,7.27592,2.98644,7.86042,6.01994,0.24972,1335.72170,0.89293,0.94343,0.00000
RATIO_CTRL,4,1.61050,1.46609,2.62250,0.88974,1.95190,1.34317,0.20874,407.44015,0.96752,0.98332,0.00000
