type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40, x41, y41, x42, y42, x43, y43, x44, y44
Type01, L, 280, 58.862517, 281.165665, 53.501750, 281.059856, 43.279447, 279.737837, 29.844820, 268.099744, 24.983640, 252.640673, 22.141033, 237.630380, 19.826420, 221.825526, 17.715166, 206.446146, 15.152296, 191.722683, 12.623048, 175.782762, 9.384864, 160.636522, 6.750758, 145.857615, 3.401582, 130.256481, 1.269019, 115.587758, 0.000000, 99.520029, 0.439454, 84.460616, 2.585832, 69.591111, 6.114645, 54.904245, 11.169458, 40.751467, 17.905310, 25.963872, 27.296954, 12.398831, 41.125861, 2.202708, 57.129085, 0.000000, 72.160298, 6.427664, 82.160805, 20.782088, 86.011397, 35.034133, 88.742684, 50.679887, 90.449932, 65.453881, 90.551204, 80.591783, 88.758434, 96.419100, 87.613408, 110.985109, 86.623446, 126.807981, 86.820458, 142.248270, 87.603057, 157.610363, 89.647550, 172.828547, 90.831193, 187.815526, 89.687693, 202.584833, 89.180614, 218.791750, 89.302674, 234.399925, 88.577393, 249.347945, 85.409671, 263.735474, 74.799227, 278.258098, 63.902964, 280.292097, 59.253636, 281.071668
Type01, L, 290, 59.814739, 291.182634, 54.549596, 291.265206, 43.832784, 289.532205, 30.488338, 277.262069, 25.161176, 261.304725, 23.488328, 246.095529, 20.348328, 229.994552, 18.079122, 214.340940, 16.081702, 198.970922, 14.042581, 182.597191, 11.529768, 167.554896, 7.964876, 151.747443, 4.635873, 135.551847, 1.591981, 119.511069, 0.072529, 103.911145, 0.000000, 87.330514, 2.019903, 71.701948, 5.824689, 55.871137, 11.383922, 40.584576, 18.877730, 25.740654, 28.539576, 11.944984, 42.977063, 2.162028, 58.975761, 0.000000, 74.317536, 6.804190, 84.422224, 21.595391, 88.267209, 36.756217, 91.528925, 52.776376, 94.063989, 67.898098, 93.677106, 84.676841, 92.006438, 100.900693, 91.354894, 114.906151, 91.282919, 131.686755, 91.782729, 147.925890, 92.419976, 163.969118, 93.234014, 179.434791, 93.601375, 194.961980, 94.003508, 211.515754, 93.426183, 226.801677, 92.532178, 241.909163, 90.445701, 258.261549, 87.278581, 273.694508, 76.580337, 288.108929, 64.693021, 290.516783, 60.480165, 291.178041
Type02, L, 230, 62.682956, 230.986904, 58.679187, 230.629010, 49.731752, 229.423903, 38.688524, 219.932156, 33.594300, 207.627382, 30.328789, 195.047751, 27.753296, 182.302150, 24.963700, 169.639457, 22.129918, 157.252981, 18.673467, 144.337425, 14.775025, 131.955946, 10.296858, 119.839684, 5.582475, 107.286991, 2.185675, 95.016144, 0.003011, 81.542166, 0.000000, 69.032016, 1.287665, 56.297159, 4.321151, 43.761172, 8.766435, 31.259153, 15.258688, 19.142048, 24.846522, 8.704429, 36.780221, 2.670722, 49.748832, 0.000000, 62.872443, 3.139496, 72.816386, 13.847752, 78.089457, 26.049252, 82.118293, 38.125042, 83.682658, 51.047366, 86.597900, 64.051630, 86.254955, 76.352745, 82.378952, 89.393951, 77.740813, 101.735873, 72.984485, 114.663007, 71.106072, 127.642779, 72.718828, 141.304940, 75.714421, 153.166300, 79.767899, 166.626024, 83.081199, 178.129101, 85.780971, 190.646699, 86.906180, 203.307760, 84.684584, 216.878045, 75.861009, 228.424290, 66.568481, 230.816672, 63.047045, 230.989088
Type02, L, 250, 65.284950, 251.239334, 69.592468, 250.947088, 79.968487, 248.272124, 87.758978, 234.918889, 88.592487, 221.419871, 86.899869, 207.434290, 83.275561, 194.493045, 78.518289, 181.170959, 74.765792, 167.410526, 72.208986, 154.394958, 70.428482, 140.116359, 72.050981, 126.407444, 77.365992, 112.809281, 83.251592, 99.476196, 88.193692, 85.521137, 88.440772, 72.251464, 86.371955, 58.108376, 84.252745, 44.687846, 80.993771, 31.015619, 77.138908, 17.369696, 67.196709, 5.174109, 52.779733, 0.000000, 38.801047, 2.740466, 25.945228, 10.832698, 16.215861, 22.722587, 9.639000, 35.837583, 4.608138, 49.380948, 1.061078, 62.656490, 0.000000, 76.652415, 1.515718, 89.729535, 4.478474, 102.897545, 7.985870, 116.004179, 12.079597, 129.470210, 16.062696, 143.350594, 20.432276, 157.218805, 24.103096, 170.632960, 27.322618, 183.967562, 30.035897, 198.497789, 32.241251, 212.199484, 35.172381, 225.270481, 39.736663, 238.760938, 50.748505, 250.605417, 60.876075, 251.104334, 64.913390, 251.464155
Type02, L, 260, 65.934691, 261.070518, 61.680578, 261.157447, 51.881049, 258.669494, 40.635965, 246.705749, 34.835070, 233.073182, 31.633238, 218.760501, 29.654942, 204.243605, 27.082963, 189.942957, 24.041766, 176.940300, 20.132664, 162.278766, 15.567073, 148.128646, 10.651486, 133.970828, 6.024915, 119.736672, 2.280341, 105.452639, 0.000000, 91.495979, 0.005275, 76.472916, 1.483764, 63.096445, 4.678022, 48.811620, 9.773074, 34.998694, 17.003843, 21.625501, 27.493402, 10.025124, 41.003565, 2.051271, 55.285489, 0.000000, 69.579993, 5.846569, 79.743349, 17.963515, 84.146931, 31.800823, 87.273610, 46.282376, 90.175012, 59.898754, 92.521592, 74.608548, 91.863673, 88.629932, 87.032040, 102.439292, 80.804316, 116.022924, 76.771523, 129.837963, 75.537680, 144.675944, 76.505808, 159.017095, 78.982310, 173.375946, 82.413881, 186.903266, 86.362897, 201.594840, 90.576593, 215.352991, 92.892690, 230.339566, 90.392511, 244.530988, 80.725240, 257.969117, 70.602335, 260.432000, 65.905116, 261.222965
Type02, L, 270, 68.688581, 271.207080, 63.725911, 271.054681, 53.036910, 269.142468, 41.238579, 256.975561, 35.690635, 242.677409, 32.946297, 227.744376, 30.250616, 212.764856, 26.425577, 197.873039, 22.830350, 183.465938, 18.940244, 168.516875, 15.415311, 154.405155, 11.132112, 139.916776, 6.668959, 125.535623, 3.051671, 111.639170, 0.582275, 96.243256, 0.000000, 81.600258, 1.912813, 66.297110, 5.586627, 51.976898, 11.481927, 37.214485, 19.554052, 23.808622, 29.899870, 10.733693, 43.876744, 2.321709, 58.827364, 0.000000, 74.274938, 6.087989, 83.623315, 19.712602, 88.348038, 33.956895, 91.403817, 48.921465, 93.449227, 63.066178, 96.286611, 78.566976, 95.236360, 93.832857, 89.352637, 108.196231, 82.384325, 122.486586, 78.414201, 137.174272, 78.131416, 152.150180, 79.900007, 166.970591, 82.763442, 182.032116, 86.573957, 196.153722, 90.929208, 210.228523, 94.604611, 224.816105, 96.402913, 239.865422, 94.387904, 255.132507, 83.682415, 268.386880, 72.786788, 270.727325, 69.358618, 271.036482
Type03, L, 230, 50.371040, 230.600494, 46.527522, 230.159371, 37.842860, 228.729855, 27.214210, 219.060965, 22.499812, 206.486238, 19.240236, 193.904866, 17.693353, 181.515637, 15.785958, 168.567006, 13.620378, 155.229648, 10.938111, 142.716813, 8.258865, 130.438081, 5.534336, 118.063073, 3.122402, 105.445006, 1.230297, 93.736284, 0.162526, 80.708213, 0.000000, 68.672410, 1.223698, 56.132420, 3.888378, 43.548075, 8.262732, 31.435754, 14.535603, 19.312195, 22.929077, 8.691299, 34.861825, 0.882409, 47.198636, 0.000000, 59.676360, 3.971978, 69.055892, 15.106867, 73.698674, 27.039832, 76.864234, 40.259345, 78.009822, 53.423415, 78.513415, 65.874108, 78.376717, 78.366997, 76.859385, 91.608852, 74.536444, 103.821038, 72.617417, 116.604041, 71.270378, 129.326320, 72.410650, 142.368716, 74.408899, 154.612646, 76.119974, 167.058670, 77.432426, 180.096934, 78.391308, 193.272174, 78.767067, 206.521047, 74.157586, 218.474683, 62.707123, 228.559484, 55.113957, 229.988629, 50.095106, 230.723591
Type03, L, 235, 53.312043, 235.948817, 49.031922, 235.870678, 40.423575, 235.069639, 28.858081, 226.641463, 22.782920, 214.201362, 19.564866, 201.842412, 17.720107, 188.585362, 16.227236, 175.911260, 14.548635, 162.550529, 12.173483, 150.166514, 9.361636, 136.966348, 6.240917, 124.372926, 3.767660, 111.833607, 1.359382, 98.499733, 0.128643, 85.646996, 0.000000, 72.746121, 1.138517, 59.269669, 3.246468, 46.676507, 7.287288, 33.796282, 13.060678, 21.867767, 21.667563, 10.742741, 32.237676, 2.271544, 45.965900, 0.000000, 58.449514, 4.690755, 68.413817, 15.151539, 74.071116, 27.393200, 77.370791, 40.140021, 78.832188, 52.870310, 79.675677, 66.121245, 79.564733, 79.054004, 78.670694, 92.261653, 77.121570, 105.266100, 75.834396, 118.073163, 74.937838, 131.827753, 75.082712, 144.830584, 75.689876, 158.600784, 76.746710, 171.554260, 78.158174, 184.081513, 79.389506, 196.507078, 79.845830, 209.573800, 76.080554, 222.016563, 66.768245, 233.102472, 57.683870, 235.933282, 53.240945, 235.553152
Type03, L, 245, 53.662249, 245.551257, 48.721134, 245.047281, 39.975348, 244.015071, 28.268922, 233.531082, 23.357096, 220.990043, 19.742118, 207.294851, 18.091327, 192.828980, 16.381562, 179.988540, 13.949759, 166.157915, 11.210728, 152.933576, 8.449424, 139.198101, 5.402153, 125.164049, 3.055791, 111.591740, 1.036249, 98.126405, 0.081721, 84.410553, 0.000000, 70.970591, 1.620219, 56.951867, 4.835500, 44.129587, 9.589035, 31.042493, 15.735876, 18.897421, 24.406323, 6.761753, 37.312779, 0.520117, 51.271428, 0.000000, 63.889333, 7.032394, 73.150239, 19.006718, 77.418622, 31.761798, 80.121140, 45.830937, 81.443490, 59.056871, 82.836185, 72.002261, 82.864511, 85.938273, 81.253716, 99.143974, 78.694294, 112.322233, 76.645882, 125.392558, 76.246658, 139.208569, 77.088637, 152.851094, 78.620549, 165.975366, 80.504361, 179.001644, 81.938678, 192.235372, 83.087073, 206.227228, 82.426249, 219.210717, 78.494627, 232.825979, 67.494468, 243.779021, 58.200021, 245.023295, 53.628181, 245.474278
Type03, L, 250, 52.591868, 250.617343, 47.974461, 250.262087, 38.796826, 248.688622, 26.761007, 238.217562, 22.192949, 224.775756, 19.468297, 211.522692, 17.584884, 197.611870, 15.319908, 183.392245, 13.448469, 169.771303, 10.827568, 155.142688, 8.585918, 141.767329, 5.973466, 127.458594, 4.152308, 114.648672, 1.917049, 99.986244, 0.573449, 86.110867, 0.000000, 72.734993, 1.104788, 59.223546, 3.834824, 45.175754, 8.841444, 31.707820, 15.693732, 18.883718, 25.536887, 7.036040, 38.887885, 0.000000, 51.758251, 0.792512, 65.673230, 7.711046, 74.234111, 20.498499, 78.308631, 33.989238, 81.545973, 47.314045, 83.256785, 61.981892, 83.712445, 74.952029, 83.153438, 88.471221, 81.885078, 101.528839, 80.020973, 116.111227, 79.104598, 129.063818, 79.380734, 142.731176, 79.723979, 155.765168, 80.052797, 169.617691, 80.425747, 182.851079, 81.026430, 197.133763, 82.173112, 210.681910, 81.735018, 223.867872, 78.110778, 237.466221, 66.631416, 249.007088, 57.137510, 249.851063, 53.304070, 251.003764
