Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,13.12343,12.15381,3.38332,0.94835,7.11923,1.21012,1.09876,403.15436,0.95921,0.97914,0.00000
PCA_LINEAR,13.11676,12.16052,6.81168,2.03254,13.86539,1.52141,3.89174,740.17746,0.92168,0.95907,0.00000
PCA_SVR,13.25103,12.32399,3.63375,0.97566,6.84534,1.10625,2.04038,366.66047,0.95850,0.97876,0.00000
PURE_GPR,13.10352,12.13041,3.38074,0.99293,7.16869,1.19452,1.09373,407.96641,0.95765,0.97832,0.00000
PURE_KRR,13.08933,12.11702,3.36650,0.93760,7.19676,1.19446,0.98755,404.42915,0.95929,0.97917,0.00000
PURE_SVR,13.17735,12.19264,3.46240,0.93900,7.61744,1.21349,0.90357,433.53404,0.95960,0.97932,0.00000
RATIO_CTRL,3.22693,2.89199,4.71805,1.78515,4.13866,3.16740,1.14457,648.38097,0.93743,0.96751,0.00000
