Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,8.61405,7.89283,1.91020,0.65444,3.00644,0.66558,0.66934,238.73204,0.96781,0.98359,0.00000
PCA_LINEAR,9.80946,9.04915,6.91613,2.07181,12.03580,1.44392,3.86472,640.94016,0.91810,0.95705,0.00000
PCA_SVR,8.63806,7.93811,2.40774,0.69744,4.82519,0.60445,1.35084,232.26414,0.96692,0.98313,0.00000
PURE_GPR,8.57103,7.84910,2.01246,0.70554,3.02277,0.69394,0.51597,234.31373,0.96602,0.98266,0.00000
PURE_KRR,8.56085,7.83747,1.84942,0.64463,2.97397,0.63236,0.51955,228.06912,0.96882,0.98411,0.00000
PURE_SVR,8.66311,7.93250,1.93506,0.62793,3.01549,0.65549,0.40445,249.72339,0.97080,0.98512,0.00000
RATIO_CTRL,3.22174,2.87971,4.77987,1.74575,4.11452,3.12714,0.48849,693.40473,0.93729,0.96741,0.00000
