Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,2,240,PCA_KRR,8.34155,7.73406,1.45866,0.45637,1.16915,0.47716,0.70636,17.07569,0.97873,0.98925,0.00000
Type00,2,240,PCA_LINEAR,6.75505,5.95183,10.19073,2.41891,35.45642,2.93994,10.19073,1179.86235,0.90787,0.95171,0.00000
Type00,2,240,PCA_SVR,8.45045,7.93567,1.40195,0.43975,1.24761,0.22677,1.40195,15.39701,0.97474,0.98721,0.00000
Type00,2,240,PURE_GPR,8.04319,7.44420,1.47623,0.46987,2.27334,0.65405,0.40930,73.90927,0.97582,0.98776,0.00000
Type00,2,240,PURE_KRR,8.27888,7.67283,1.41043,0.43602,1.38605,0.46642,0.64034,22.02737,0.97994,0.98987,0.00000
Type00,2,240,PURE_SVR,7.92853,7.34879,1.62639,0.27859,2.37974,0.44974,0.51615,124.94931,0.98367,0.99177,0.00000
Type00,2,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,2,245,PCA_KRR,7.60882,6.95430,1.55164,0.71696,4.93912,0.87101,0.47270,440.96175,0.96935,0.98444,0.00000
Type00,2,245,PCA_LINEAR,7.01806,6.14549,10.26481,2.60183,35.37452,2.77356,10.03307,1383.28206,0.90389,0.94952,0.00000
Type00,2,245,PCA_SVR,7.62894,6.99778,1.30970,0.40868,5.56979,0.82281,0.63984,308.13596,0.98086,0.99034,0.00000
Type00,2,245,PURE_GPR,7.66892,7.04673,1.64297,0.71258,3.79386,0.74135,0.35100,430.20085,0.97056,0.98506,0.00000
Type00,2,245,PURE_KRR,7.62250,6.98053,1.55626,0.68992,4.82188,0.87916,0.43360,431.01097,0.97090,0.98523,0.00000
Type00,2,245,PURE_SVR,7.71403,7.09269,2.62030,0.95033,4.45837,1.00841,0.11575,541.17083,0.96198,0.98062,0.00000
Type00,2,245,RATIO_CTRL,2.45240,2.30138,2.80576,1.20271,0.78352,0.75702,0.20478,52.20811,0.95162,0.97521,0.00000
Type00,2,255,PCA_KRR,8.41299,7.59639,1.54518,0.68564,4.34503,0.22795,0.29067,31.36126,0.96643,0.98293,0.00000
Type00,2,255,PCA_LINEAR,7.18202,6.38778,10.55236,2.84445,35.82960,1.93946,10.08030,786.11722,0.89580,0.94504,0.00000
Type00,2,255,PCA_SVR,8.55407,7.85089,1.00968,0.24979,2.14486,0.43925,0.34438,112.81309,0.98070,0.99026,0.00000
Type00,2,255,PURE_GPR,8.65792,7.90633,2.18195,0.80663,3.34547,0.01457,0.09432,101.51041,0.95914,0.97914,0.00000
Type00,2,255,PURE_KRR,8.41516,7.61924,1.49721,0.65599,4.10975,0.23372,0.23677,32.75054,0.96731,0.98339,0.00000
Type00,2,255,PURE_SVR,8.47002,7.74478,1.18327,0.35551,3.20393,0.45922,0.00279,74.19079,0.97937,0.98957,0.00000
Type00,2,255,RATIO_CTRL,3.52047,2.85519,7.30323,2.21373,1.59840,2.72886,0.25953,860.62552,0.91906,0.95783,0.00000
Type00,2,265,PCA_KRR,9.35132,8.54789,2.24381,1.10536,4.72196,1.78145,0.45140,667.28542,0.95075,0.97476,0.00000
Type00,2,265,PCA_LINEAR,8.40432,7.18690,10.53135,2.86958,38.81828,3.88758,10.53135,1669.44518,0.89913,0.94689,0.00000
Type00,2,265,PCA_SVR,8.54477,7.76244,1.78135,0.38785,5.38796,0.82459,0.44868,312.28738,0.98122,0.99052,0.00000
Type00,2,265,PURE_GPR,9.49527,8.77002,2.64375,1.07996,5.15873,1.77241,0.71131,622.55808,0.95047,0.97460,0.00000
Type00,2,265,PURE_KRR,9.24441,8.46465,2.26968,1.11036,4.88836,1.77736,0.37485,679.88501,0.95161,0.97521,0.00000
Type00,2,265,PURE_SVR,9.50140,8.52547,2.23698,1.11413,4.16095,1.65071,0.24168,637.48297,0.95354,0.97622,0.00000
Type00,2,265,RATIO_CTRL,3.62534,3.50779,4.80179,1.86242,0.28199,1.89229,0.09755,310.62729,0.93299,0.96533,0.00000
Type00,2,270,PCA_KRR,8.70723,8.00776,2.68454,1.00947,0.65989,0.32877,0.13035,313.16038,0.95446,0.97670,0.00000
Type00,2,270,PCA_LINEAR,6.84609,5.94075,10.68275,2.76366,33.09922,1.82519,10.68275,791.06381,0.90064,0.94772,0.00000
Type00,2,270,PCA_SVR,8.09617,7.33381,1.68761,0.54233,4.34706,0.28183,1.37319,226.77595,0.97228,0.98595,0.00000
Type00,2,270,PURE_GPR,8.53737,7.80516,2.64858,0.96898,1.12214,0.22085,0.04709,310.30842,0.95743,0.97825,0.00000
Type00,2,270,PURE_KRR,8.70215,7.97897,2.66018,1.00624,0.78911,0.33130,0.09766,308.08676,0.95479,0.97687,0.00000
Type00,2,270,PURE_SVR,8.78383,8.13066,3.33856,1.19525,0.26577,0.68179,0.11167,462.00492,0.95306,0.97597,0.00000
Type00,2,270,RATIO_CTRL,4.51814,4.00608,7.62733,2.97522,5.94029,4.48148,0.17217,1362.29615,0.90116,0.94801,0.00000
Type00,2,275,PCA_KRR,9.13785,8.39638,1.34148,0.70645,6.20492,1.10279,0.59119,515.47472,0.96460,0.98198,0.00000
Type00,2,275,PCA_LINEAR,7.53166,6.72096,10.19695,2.92105,34.30224,3.07015,10.11895,1672.88130,0.90113,0.94799,0.00000
Type00,2,275,PCA_SVR,7.70363,6.84010,6.01335,1.22334,16.51879,1.03910,1.33742,786.34513,0.95608,0.97755,0.00000
Type00,2,275,PURE_GPR,8.91713,8.17723,1.77159,0.88852,6.85774,1.18656,1.07828,607.37309,0.96637,0.98290,0.00000
Type00,2,275,PURE_KRR,9.19539,8.45732,1.24112,0.65034,5.75934,1.08101,0.48538,488.30340,0.97021,0.98488,0.00000
Type00,2,275,PURE_SVR,9.52497,8.76831,1.13497,0.29100,3.75739,0.64759,0.08117,266.60998,0.98585,0.99288,0.00000
Type00,2,275,RATIO_CTRL,4.13078,3.86073,4.59546,1.93696,5.19782,3.81414,0.37659,658.18155,0.93097,0.96425,0.00000
Type01,1,230,PCA_KRR,7.94292,7.38905,0.96204,0.30640,0.17583,0.19873,0.74818,108.95375,0.98408,0.99198,0.00000
Type01,1,230,PCA_LINEAR,7.53049,6.95068,1.55065,0.42205,2.60445,0.01254,0.09837,122.78261,0.98039,0.99010,0.00000
