Merge_Step,Cluster_Idx_1,Cluster_Idx_2,Ward_Distance,Member_Count
1,3.0000,6.0000,1.6360,2.0000
2,4.0000,8.0000,3.5575,3.0000
3,1.0000,9.0000,3.7628,4.0000
4,0.0000,7.0000,4.1114,2.0000
5,2.0000,5.0000,4.9046,2.0000
6,10.0000,12.0000,6.4151,6.0000
7,11.0000,13.0000,8.9101,8.0000
