type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29
Type01, L, 280, 58.790931, 283.665283, 51.368786, 284.592567, 32.488894, 277.761663, 23.912650, 253.009529, 20.678887, 228.749674, 17.056843, 204.623759, 13.001502, 180.451090, 8.307495, 156.292583, 3.416484, 132.772058, 0.000000, 108.388450, 0.414904, 84.020055, 4.965231, 60.992745, 12.908633, 38.327492, 25.562368, 15.282721, 48.598278, 0.000000, 75.060735, 8.736548, 85.976564, 33.137901, 89.267388, 56.421946, 91.441398, 80.512492, 88.001017, 104.615339, 86.900212, 128.684513, 86.614211, 153.263848, 90.474620, 177.439036, 90.467021, 200.330980, 88.881607, 225.959560, 89.673030, 249.618127, 84.042803, 273.330976, 67.060465, 284.735718, 59.189969, 282.517526
Type01, L, 290, 59.871567, 293.622674, 52.478307, 294.728750, 32.929275, 287.020441, 24.631503, 261.525954, 21.880504, 236.989316, 17.201030, 212.277840, 14.901828, 187.131027, 10.247266, 163.070477, 4.503345, 137.417861, 0.281120, 112.559590, 0.000000, 86.958678, 4.564784, 62.016052, 13.529690, 37.904913, 27.085048, 14.792883, 50.513832, 0.000000, 77.459123, 8.754106, 88.108981, 34.750329, 92.570474, 58.133192, 94.945546, 84.366140, 91.277319, 108.926561, 91.600957, 132.880213, 92.204348, 159.862488, 93.564298, 183.324574, 94.184553, 209.243867, 93.757418, 233.475872, 91.286239, 257.839857, 86.398150, 283.932970, 68.236619, 294.227037, 60.280948, 292.982615
Type02, L, 230, 63.018332, 231.292923, 56.950909, 231.599494, 41.432773, 226.110474, 32.876136, 206.059817, 28.880799, 186.177442, 24.567283, 166.293207, 19.663310, 146.306445, 13.280964, 126.647739, 5.607979, 107.592590, 0.600689, 87.195256, 0.000000, 66.823005, 3.617615, 47.175148, 10.380918, 27.201393, 23.789049, 9.084981, 43.290087, 0.000000, 65.000560, 2.467719, 78.203665, 22.568058, 82.440973, 41.213501, 86.967170, 62.112472, 86.397971, 81.780004, 77.904861, 101.783008, 71.116475, 122.002839, 72.796796, 143.013064, 78.998606, 162.808869, 84.476040, 182.148038, 87.986603, 201.325320, 84.168178, 223.634458, 69.399071, 231.897922, 63.256376, 231.011547
Type02, L, 250, 66.040905, 252.483697, 73.552832, 253.083416, 88.545220, 243.161319, 89.819591, 220.074076, 85.667167, 199.542451, 77.700821, 178.233484, 73.100269, 157.333256, 70.509655, 135.047252, 77.916069, 113.801890, 88.532944, 92.329003, 89.761581, 70.920654, 85.048766, 48.925572, 81.990757, 28.070258, 70.364146, 5.616356, 46.016433, 0.000000, 25.273962, 12.399733, 11.856402, 32.591749, 4.232734, 53.727623, 0.000000, 75.354130, 3.214662, 96.310297, 8.642883, 116.812652, 15.024897, 138.176413, 21.784519, 160.483563, 27.411484, 180.832817, 31.564058, 204.048206, 35.038493, 224.346199, 42.554169, 246.664094, 59.154524, 254.273610, 65.850476, 251.797016
Type02, L, 260, 66.274885, 262.858616, 59.422032, 263.807011, 43.555299, 254.836961, 33.830697, 232.929987, 30.579064, 209.848630, 26.743465, 187.918044, 21.166930, 166.216034, 13.636726, 143.360189, 5.982374, 121.142666, 0.477114, 98.785348, 0.000000, 75.815853, 3.808357, 54.230106, 11.493930, 31.847915, 26.293252, 12.081838, 48.048963, 0.000000, 72.134899, 6.992532, 84.437678, 29.068273, 87.725795, 51.154724, 93.408967, 73.574509, 91.747470, 96.155490, 80.710247, 117.205487, 75.438017, 139.555754, 76.725768, 162.938532, 81.444225, 184.607422, 87.800138, 207.157991, 94.242240, 229.530871, 89.519959, 253.426564, 73.799861, 263.327754, 66.184747, 262.378127
Type02, L, 270, 69.042301, 273.146268, 61.246704, 273.940952, 43.958226, 265.834128, 34.954117, 242.388717, 31.782590, 218.890064, 25.636141, 195.490495, 19.843263, 172.462526, 14.013391, 149.691530, 6.740655, 127.275998, 1.274238, 104.537526, 0.000000, 80.507539, 4.513575, 57.193113, 13.769127, 34.551841, 28.800195, 13.203757, 51.172247, 0.000000, 76.830219, 7.489033, 88.478891, 31.597468, 91.712726, 53.859180, 96.902877, 77.592563, 95.177141, 101.800856, 81.878148, 123.837577, 77.592777, 147.293580, 80.334470, 170.951711, 85.467904, 194.096841, 92.593329, 216.066612, 97.537374, 239.381898, 93.909381, 264.330345, 75.687210, 273.861848, 69.510822, 272.465441
Type03, L, 230, 50.565085, 232.665378, 44.626144, 232.667346, 29.791320, 227.244829, 21.457685, 206.337655, 18.190360, 187.328529, 15.601219, 166.500749, 11.498499, 146.164316, 7.198029, 126.928910, 3.085293, 107.309246, 0.485322, 87.990227, 0.000000, 68.335659, 2.983682, 48.609282, 9.883809, 29.318370, 21.869087, 10.667660, 40.915251, 0.000000, 61.710358, 5.938537, 73.622658, 24.834187, 77.505437, 45.539458, 78.950053, 65.694209, 78.413938, 85.571114, 74.959960, 105.774267, 71.426653, 125.400671, 72.414532, 146.150801, 76.324309, 165.133367, 77.538748, 185.794457, 80.269424, 206.673140, 71.929568, 226.305400, 56.582416, 232.923762, 51.238057, 232.259233
Type03, L, 235, 53.297033, 237.584308, 47.043704, 238.078130, 31.892517, 233.976336, 21.406098, 214.028231, 18.184477, 194.149236, 15.877928, 173.305899, 12.801232, 153.239944, 7.874675, 132.818648, 3.585798, 113.071383, 0.169245, 92.248571, 0.000000, 71.917102, 2.333976, 51.037206, 8.589325, 31.312114, 20.082650, 12.689124, 38.609952, 0.000000, 60.564405, 5.790491, 73.406534, 24.828992, 78.099626, 44.662484, 79.799274, 65.209689, 79.627390, 85.959397, 77.260060, 106.377800, 75.120666, 127.105675, 74.976942, 148.275485, 76.458456, 169.573778, 78.433988, 189.042180, 80.826995, 209.133866, 74.576865, 229.508394, 60.276826, 238.152095, 53.368441, 237.126166
Type03, L, 245, 53.783006, 248.138359, 46.780404, 248.679921, 31.295499, 242.290955, 22.126075, 221.831876, 18.633317, 199.508978, 16.155336, 178.371740, 11.789750, 157.318654, 7.279732, 135.507576, 2.926506, 113.754580, 0.388485, 92.610452, 0.000000, 70.943416, 3.847029, 49.496550, 11.387610, 29.804481, 22.874227, 9.631233, 44.473426, 0.000000, 66.187182, 9.625236, 77.519932, 30.045432, 80.558417, 51.760041, 83.097303, 72.224361, 83.193566, 93.959125, 78.820170, 114.507538, 76.058297, 135.421798, 77.315365, 157.476441, 80.209341, 177.485544, 82.673347, 198.972474, 83.843325, 219.965487, 76.749878, 241.753627, 60.632473, 248.972087, 54.142581, 247.475280
Type03, L, 250, 52.811369, 253.231728, 46.307042, 253.576277, 29.494635, 247.147390, 21.393930, 225.402931, 18.514761, 204.331325, 15.114763, 181.865972, 11.695896, 159.926052, 7.579433, 137.593101, 4.284551, 116.896713, 1.161233, 93.794782, 0.000000, 73.186261, 3.055622, 50.978029, 10.478902, 30.021574, 24.597915, 9.520180, 45.313187, 0.000000, 68.002013, 10.494092, 78.238981, 32.082315, 82.490772, 53.389865, 84.412689, 75.786724, 83.310109, 95.721971, 80.244275, 118.314049, 79.267895, 139.048843, 80.275520, 160.364119, 80.502264, 181.303982, 81.616032, 203.851824, 83.259860, 224.272128, 76.572061, 246.739869, 59.448918, 253.918069, 53.836516, 252.700686
