type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29
Type04, L, 250, 62.176984, 252.355998, 55.431135, 252.976879, 39.199877, 246.726625, 27.191817, 225.598506, 25.093632, 202.848857, 21.799295, 180.022329, 16.661821, 158.855449, 11.086569, 137.667243, 5.556357, 116.413246, 1.376515, 94.668902, 0.000000, 71.871823, 5.642446, 50.555827, 12.617971, 29.196454, 26.080789, 8.653873, 47.801282, 0.000000, 70.167958, 6.322053, 84.248632, 27.001237, 89.955341, 48.214328, 90.916228, 70.299684, 88.365783, 91.706240, 85.222733, 113.281939, 83.259720, 135.561924, 85.034712, 157.574226, 88.058493, 180.253553, 89.273230, 199.892441, 91.528918, 222.910553, 85.408287, 244.334038, 68.726604, 253.145568, 62.407493, 251.536594
Type04, L, 260, 59.183935, 262.680220, 52.123107, 262.773692, 34.995448, 255.665098, 27.292939, 232.315968, 24.020437, 210.558021, 20.608018, 187.581371, 16.140605, 165.278678, 10.803593, 143.191214, 5.747944, 120.621359, 1.012204, 98.434104, 0.000000, 75.877500, 5.505498, 53.614603, 12.481324, 31.675191, 25.252517, 9.817627, 47.693341, 0.000000, 71.107051, 6.982646, 83.652925, 29.650689, 89.424166, 50.897684, 90.551920, 73.805063, 86.922083, 95.999991, 83.469407, 118.290292, 82.329043, 140.713488, 83.969680, 164.305027, 86.612194, 186.911390, 89.282655, 209.653266, 91.071080, 233.213948, 83.230392, 255.782736, 65.810960, 263.972694, 59.817958, 261.825336
Type04, L, 265, 60.317532, 267.793719, 53.661583, 268.449216, 35.749862, 262.748913, 26.872219, 239.065856, 23.397898, 216.196706, 20.765080, 192.608955, 16.316804, 169.647195, 11.341652, 146.867613, 6.315262, 124.375924, 1.833799, 101.511076, 0.000000, 78.746902, 4.999579, 55.547464, 11.984760, 33.890986, 23.567100, 10.659757, 46.381813, 0.000000, 71.120148, 6.970476, 84.118839, 29.931552, 88.986318, 52.245343, 91.971286, 74.686432, 88.390582, 97.667747, 86.078392, 119.986573, 84.451527, 143.659112, 85.499013, 166.002760, 88.155475, 189.047859, 90.799076, 212.278593, 91.138416, 235.570955, 85.272664, 260.216151, 68.028405, 268.607935, 60.761839, 267.111114
Type04, L, 270, 62.467409, 273.082925, 55.068493, 274.053028, 36.789536, 267.687389, 27.270166, 244.578839, 24.241984, 221.432447, 20.030590, 197.803591, 16.032963, 174.657412, 10.683646, 151.353413, 6.117334, 128.020839, 0.000000, 103.978785, 0.349995, 81.293129, 4.928540, 57.749489, 10.430135, 34.575518, 25.164010, 12.479765, 47.244815, 0.000000, 72.994128, 6.891731, 85.141827, 29.616943, 91.289166, 52.400438, 91.876072, 76.059758, 87.789962, 99.625775, 85.259127, 122.674965, 83.970940, 145.164213, 85.183115, 169.508646, 88.370174, 191.878408, 91.400882, 216.012546, 91.743830, 238.801275, 86.663327, 262.547526, 70.551592, 273.987735, 62.507319, 272.154590
Type04, L, 280, 64.839427, 282.820496, 56.983488, 283.551805, 38.305094, 277.656235, 28.277149, 253.138249, 24.102843, 228.768948, 21.066374, 204.440468, 16.245574, 180.119708, 11.114201, 156.572289, 6.275203, 133.264449, 2.006646, 109.297670, 0.000000, 83.929699, 4.901490, 59.930578, 12.610426, 36.609344, 24.514803, 12.615764, 48.465561, 0.000000, 74.314879, 6.116413, 88.613139, 30.801210, 94.382751, 53.138739, 95.128135, 78.057786, 92.681596, 101.813119, 89.826531, 125.978613, 87.645971, 150.171902, 88.492730, 174.212814, 91.193487, 199.256483, 94.216761, 222.416330, 95.264117, 248.035091, 90.658533, 272.501454, 73.386439, 283.092907, 65.104210, 282.217176
Type05, L, 240, 55.678220, 243.014348, 49.172869, 243.512576, 33.235198, 237.322950, 25.496210, 216.244848, 21.761740, 195.788203, 19.897986, 173.685762, 17.675134, 152.288091, 11.547668, 132.180761, 3.429067, 112.883017, 0.000000, 91.455677, 1.914978, 70.268686, 7.650693, 49.809820, 15.690151, 29.406814, 28.504790, 10.671992, 49.175292, 0.000000, 71.696592, 8.092527, 77.064261, 31.250406, 84.508378, 49.566377, 84.120634, 70.662742, 79.232623, 91.247197, 72.406848, 111.831632, 70.467280, 132.697771, 73.534180, 153.165641, 77.926634, 173.363635, 83.457216, 194.088718, 84.888341, 214.244763, 77.633792, 236.329596, 62.143419, 243.076897, 56.078123, 242.815394
Type05, L, 260, 58.242499, 263.164356, 51.330995, 264.027064, 35.626563, 254.267600, 29.080263, 232.298611, 24.694217, 209.827579, 22.874981, 186.695567, 20.024754, 164.946894, 13.164789, 141.667016, 5.665356, 121.186310, 0.000000, 97.885231, 0.393426, 75.847974, 5.549055, 54.004274, 13.749484, 32.329588, 25.226863, 10.163803, 47.422059, 0.000000, 70.760816, 9.222976, 79.415307, 33.047557, 85.542235, 54.104921, 88.322461, 78.061989, 84.525545, 100.188741, 78.801275, 122.386441, 74.476515, 143.380289, 76.294727, 167.036678, 81.027840, 188.941186, 86.033348, 210.974649, 88.534363, 232.371680, 82.294031, 255.696158, 65.935662, 264.101085, 58.251008, 262.698168
Type05, L, 280, 64.157027, 283.577523, 71.856077, 283.868398, 89.484630, 273.048726, 94.086738, 248.118751, 90.096831, 224.598544, 85.655235, 200.401858, 80.255518, 177.358972, 78.532954, 152.534836, 82.680465, 128.532846, 89.971600, 104.981767, 94.238875, 81.337369, 89.314471, 55.575081, 84.179606, 33.889995, 75.160501, 7.850164, 47.999277, 0.000000, 24.961693, 14.391842, 13.073416, 38.263303, 4.847605, 61.522734, 0.000000, 85.636474, 0.316264, 110.587908, 6.143309, 133.825078, 14.347126, 156.835579, 20.573759, 181.012718, 24.328639, 205.732063, 26.526569, 228.755099, 29.757458, 251.331180, 38.707804, 276.220183, 56.667830, 284.704440, 63.947611, 283.180112
Type05, L, 290, 67.881727, 293.394373, 60.572143, 294.759991, 41.734031, 286.597880, 32.094579, 261.236973, 27.203413, 237.114592, 24.115175, 211.758041, 21.344666, 186.419449, 14.951622, 162.269359, 6.134161, 136.964087, 0.174918, 112.856562, 0.000000, 87.554473, 5.303468, 62.274318, 13.252475, 38.752030, 25.785262, 14.060328, 49.811536, 0.000000, 76.435568, 8.435669, 88.812058, 33.819356, 93.321333, 57.535889, 98.861365, 83.043056, 95.204434, 107.515369, 87.288086, 131.955954, 82.044630, 156.213885, 83.734235, 184.220946, 89.248815, 207.841961, 95.136779, 232.665564, 98.517472, 257.936818, 94.590605, 283.387345, 75.681262, 293.904723, 67.953643, 292.799052
Type06, L, 230, 51.927776, 232.831951, 45.627900, 232.840582, 31.161084, 225.546754, 22.805576, 206.251713, 20.222938, 186.238372, 17.939715, 166.477164, 13.423648, 146.834126, 8.394000, 126.975546, 3.674070, 107.505396, 0.174146, 87.553372, 0.000000, 67.129470, 4.204346, 47.247157, 10.594285, 27.573166, 22.701123, 8.554659, 42.997952, 0.000000, 63.910828, 9.034258, 73.192253, 28.937955, 78.328730, 47.172849, 80.674445, 67.940228, 79.518741, 87.260333, 77.098276, 107.228121, 74.850847, 127.086756, 74.556521, 147.398290, 77.387281, 167.644107, 79.632023, 187.158481, 81.046019, 206.867466, 74.140560, 227.970883, 57.768780, 233.083479, 52.389483, 232.608636
Type06, L, 240, 54.300322, 242.439183, 47.422599, 242.367801, 32.275713, 235.761468, 24.623448, 214.688347, 20.477488, 194.679691, 17.472737, 174.301428, 13.488219, 153.048642, 9.158157, 134.143155, 3.425230, 113.762483, 0.000000, 92.514872, 0.332254, 72.953840, 3.762982, 52.997894, 10.191216, 32.818148, 20.293678, 12.605261, 39.786357, 0.000000, 62.425490, 4.982752, 74.680342, 25.881715, 80.060648, 44.937459, 82.145488, 66.542561, 81.255090, 86.877254, 78.625329, 108.499940, 75.983507, 129.357353, 76.251010, 150.891191, 78.430367, 171.416026, 81.269756, 193.249401, 82.631723, 213.623797, 75.478909, 235.192010, 60.661647, 242.914121, 54.602803, 241.891824
Type06, L, 250, 55.282861, 253.502978, 48.184082, 254.076349, 33.490324, 246.160554, 23.179957, 225.302182, 19.657064, 203.965968, 17.414383, 182.265689, 12.860277, 159.973152, 8.181603, 139.366760, 3.241919, 118.405866, 0.160141, 96.232652, 0.000000, 75.641702, 3.498725, 53.252206, 11.069809, 33.008425, 22.894904, 12.031784, 44.090743, 0.000000, 66.756682, 9.297990, 77.038715, 30.749027, 82.517653, 51.688006, 84.921248, 74.155746, 84.842198, 94.726475, 80.697254, 117.132393, 79.535054, 137.630912, 80.010821, 160.626429, 81.690040, 181.296468, 84.050788, 203.934291, 85.806807, 225.194879, 78.657636, 246.896080, 61.855991, 254.168200, 55.552038, 252.985574
Type06, L, 270, 61.128156, 273.347602, 54.290301, 274.312424, 35.902890, 267.649934, 26.705426, 244.749541, 23.163676, 222.489726, 19.771185, 198.690466, 16.658133, 176.049932, 10.947393, 152.318871, 4.604350, 130.018498, 0.000000, 106.303199, 0.255765, 82.462174, 4.423805, 59.468015, 11.469389, 37.042512, 22.440428, 14.104615, 45.538900, 0.000000, 69.828284, 7.910181, 82.423944, 31.632729, 88.185868, 53.333728, 90.207029, 78.884018, 88.565589, 101.980232, 85.607194, 125.006881, 82.801249, 147.605955, 82.888171, 170.968592, 85.662601, 194.643308, 88.587361, 217.410058, 90.584504, 239.580641, 85.054385, 263.690153, 68.543126, 273.703284, 61.423544, 272.736115
Type06, L, 280, 64.029474, 283.384278, 57.205581, 283.933263, 38.091240, 278.347473, 26.783027, 254.205064, 23.817261, 230.800974, 20.924962, 206.297541, 17.414004, 182.106809, 12.104772, 159.176115, 5.509868, 134.291283, 0.000000, 110.864221, 0.212448, 86.350360, 5.041436, 62.243200, 10.313158, 39.424812, 22.261994, 16.453150, 44.551838, 0.000000, 70.904851, 7.609379, 84.894151, 31.992808, 90.444268, 54.166753, 92.969549, 78.512231, 92.765406, 102.523451, 89.360751, 126.374538, 86.152734, 151.492304, 86.389932, 174.378057, 88.674026, 199.045944, 91.357086, 223.291069, 93.825804, 247.564721, 89.018391, 272.374838, 72.695900, 283.869097, 64.206504, 282.788441
Type07, L, 250, 59.446008, 252.284077, 53.036091, 252.549333, 35.647579, 247.674853, 26.151825, 226.074990, 22.274397, 204.830316, 18.875794, 183.247996, 15.971382, 160.964072, 10.419757, 140.564550, 4.834073, 119.706762, 0.517790, 98.729063, 0.000000, 76.330002, 4.491594, 55.248595, 12.834533, 34.375846, 24.405786, 13.565633, 44.383188, 0.000000, 67.540852, 3.971824, 81.678735, 25.031079, 84.518116, 46.232609, 86.205751, 66.954518, 86.314608, 90.412189, 82.374780, 110.156323, 83.067963, 133.143637, 83.180423, 157.033062, 83.409901, 176.264267, 85.073601, 198.658815, 87.293680, 220.670281, 82.168993, 242.941934, 66.865079, 252.988290, 60.049740, 251.535048
Type07, L, 270, 62.015740, 272.444006, 54.969261, 273.532361, 37.876794, 266.445935, 26.887845, 243.105621, 24.602663, 219.454557, 21.688669, 197.399784, 17.097058, 173.356292, 11.911619, 150.670099, 6.464630, 128.078677, 0.694488, 104.646414, 0.000000, 80.559262, 6.644149, 58.154680, 14.690338, 35.899014, 27.602056, 13.155862, 48.984289, 0.000000, 75.876129, 4.620971, 86.046310, 28.512248, 90.404127, 51.424204, 92.003166, 75.095605, 89.913104, 97.641955, 89.097428, 121.364896, 88.756161, 144.675134, 89.342221, 168.742236, 90.570981, 192.434989, 91.237589, 214.905628, 92.005235, 239.587540, 86.966911, 262.750589, 69.223987, 273.266115, 62.897647, 271.518911
Type07, L, 280, 62.941747, 282.716343, 56.113288, 283.196280, 37.095872, 276.536635, 27.386225, 252.611409, 25.011937, 228.455255, 21.873059, 203.782225, 17.375901, 180.189771, 12.151720, 155.798683, 6.659504, 132.290867, 0.758013, 108.590690, 0.000000, 83.994970, 7.168910, 60.254458, 14.282250, 36.863346, 27.456080, 13.061168, 50.114718, 0.000000, 76.308462, 5.822640, 88.214163, 30.868657, 93.128612, 54.277647, 93.974912, 78.766527, 92.051930, 102.390323, 89.335831, 126.584986, 88.423781, 150.549887, 87.377309, 175.407575, 89.742150, 200.361903, 92.943718, 224.884230, 94.420030, 248.659941, 89.082273, 274.069290, 71.315497, 283.961437, 63.153858, 281.886130
