type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39
Type01, L, 280, 58.858258, 281.484019, 53.056133, 281.431356, 40.694256, 279.477172, 27.488402, 264.248117, 23.885812, 246.671429, 20.730595, 229.342872, 18.499259, 211.200804, 15.633695, 194.690261, 12.729134, 176.469362, 9.151366, 159.399157, 5.981470, 142.230781, 2.376330, 124.915222, 0.474392, 107.546416, 0.000000, 89.596833, 2.051936, 72.848816, 5.826418, 56.023644, 11.669777, 39.817712, 19.520864, 23.162629, 31.656855, 8.025776, 49.066377, 0.000000, 67.288168, 2.776634, 80.976847, 17.652181, 85.926277, 34.193532, 88.888281, 51.836798, 90.842860, 68.598468, 90.103230, 86.264566, 88.133734, 103.695216, 86.974056, 120.756248, 86.656618, 138.901964, 87.464971, 156.114205, 89.787652, 173.721497, 90.925302, 190.423885, 89.316422, 207.820514, 89.344162, 226.129075, 89.107605, 243.682752, 87.144258, 259.851101, 77.321244, 277.238704, 64.479208, 280.991389, 59.412062, 281.039462
Type01, L, 290, 60.068978, 291.446849, 54.119528, 291.563512, 41.715077, 289.143465, 27.958626, 273.141253, 24.824686, 255.204729, 22.092545, 237.553578, 18.841706, 219.195965, 16.717514, 201.944815, 14.381487, 183.281479, 11.461129, 166.110307, 7.362680, 148.050590, 3.571044, 129.405483, 0.766903, 111.693749, 0.000000, 93.096844, 1.633030, 74.914974, 5.716560, 57.070147, 12.174464, 39.486070, 20.792512, 22.847624, 33.315763, 7.571909, 51.234648, 0.000000, 69.435226, 2.865446, 83.559114, 18.298527, 88.287716, 35.756440, 91.986584, 53.943831, 94.699960, 71.047621, 93.315814, 90.946452, 91.798881, 107.560734, 91.478983, 125.152575, 91.863353, 144.324078, 92.620891, 162.428647, 93.473042, 180.149573, 94.011137, 197.866121, 94.159387, 216.799486, 93.450767, 233.471249, 91.663212, 251.781840, 89.020493, 269.717815, 79.587047, 287.004291, 65.441980, 291.130335, 60.853549, 291.108365
Type02, L, 230, 62.942135, 230.395591, 58.510203, 230.069365, 47.859592, 228.300450, 36.854439, 216.060574, 32.392167, 201.826537, 29.142707, 187.411373, 26.121391, 172.848571, 22.933761, 158.801496, 19.070198, 144.063425, 14.658597, 130.078501, 9.302340, 116.065069, 4.349349, 102.055945, 0.984591, 87.380034, 0.000000, 72.444365, 1.144193, 58.312263, 4.294582, 43.764593, 9.416235, 29.726893, 17.193156, 15.788584, 29.201379, 5.246322, 43.379014, 0.164399, 58.641285, 0.000000, 71.612961, 10.352002, 78.128576, 24.594111, 82.549195, 38.067835, 84.401092, 53.193922, 87.609347, 67.437518, 84.973923, 81.999691, 79.933434, 96.349513, 74.216074, 110.764184, 71.189791, 125.654450, 72.984327, 140.962019, 76.617576, 154.866868, 81.202269, 169.704522, 84.690109, 182.934635, 87.109126, 197.379510, 86.387169, 212.481084, 78.194836, 226.958349, 67.328542, 230.317408, 63.353750, 230.321607
Type02, L, 250, 65.164602, 250.928821, 70.032979, 250.921097, 82.053757, 246.655659, 88.518104, 230.870543, 88.083148, 215.336206, 85.057507, 199.801956, 79.828491, 185.208433, 75.025684, 169.309514, 72.171397, 154.547235, 69.989405, 138.297979, 72.934451, 122.698497, 79.455293, 107.413051, 86.308089, 91.862380, 88.933592, 76.369141, 86.616374, 60.706051, 84.290648, 45.041239, 80.651534, 29.720589, 75.838361, 13.971665, 62.122034, 1.557976, 45.459016, 0.000000, 30.134990, 6.889737, 17.691286, 19.537612, 9.930193, 34.485573, 4.150491, 49.822203, 0.364188, 65.090725, 0.000000, 80.899214, 2.656136, 95.626076, 6.375666, 110.650784, 10.909642, 125.771128, 15.467320, 141.507403, 20.432306, 157.424178, 24.537974, 172.471566, 28.154906, 188.076689, 30.829857, 204.540054, 33.717488, 219.571049, 37.656294, 234.645342, 48.243508, 249.594596, 60.280966, 251.127389, 64.683643, 250.968910
Type02, L, 260, 66.219500, 261.300171, 61.424158, 261.545938, 49.979607, 257.872323, 38.661814, 243.250209, 33.475649, 227.462765, 30.803939, 210.960824, 28.290735, 194.379174, 24.900905, 179.392730, 20.603705, 163.066340, 15.332684, 146.677557, 9.703078, 130.834901, 4.706119, 114.202033, 0.988437, 98.626976, 0.000000, 81.524932, 1.309726, 65.947362, 4.646671, 49.901753, 10.465916, 34.056305, 19.146954, 18.991000, 32.286577, 6.662654, 48.433881, 0.000000, 64.905603, 2.676047, 78.787209, 15.104427, 84.214282, 30.905297, 87.725821, 47.275011, 91.061574, 62.914832, 93.256360, 79.698344, 90.511370, 95.379562, 83.329846, 111.046209, 77.630540, 126.498920, 75.747300, 143.217237, 76.770244, 159.819713, 79.758445, 175.752203, 83.846407, 191.711148, 88.553138, 207.881598, 92.862250, 224.316321, 92.336008, 240.903606, 83.197287, 256.882852, 71.499396, 261.003719, 66.256145, 261.147045
Type02, L, 270, 68.905930, 271.150048, 63.293865, 271.133743, 50.921647, 268.194717, 39.129799, 253.037523, 34.534692, 236.517872, 31.903587, 219.365158, 27.834828, 202.305949, 23.660252, 185.885720, 19.265782, 168.835882, 15.255151, 152.880279, 10.188186, 136.072236, 5.319164, 120.323961, 1.732363, 103.490007, 0.000000, 86.429291, 1.535610, 69.246870, 5.409815, 52.641722, 12.277948, 36.057513, 21.563890, 20.680648, 34.824376, 6.648355, 51.310746, 0.000000, 69.443202, 2.178757, 82.747895, 16.355448, 88.272379, 32.764596, 91.793814, 49.647922, 94.174085, 65.879672, 97.116598, 83.787713, 93.266902, 100.669913, 85.061200, 116.844473, 79.014561, 133.396989, 78.152237, 150.461792, 80.152964, 167.352140, 83.488508, 184.475619, 88.121294, 200.331335, 92.997625, 216.621635, 96.298528, 233.447385, 96.171239, 250.929388, 86.505256, 267.229028, 73.399704, 270.913702, 69.687935, 270.804264
Type03, L, 230, 50.488857, 231.119822, 46.315096, 230.700328, 35.793573, 228.681934, 25.493361, 216.240636, 21.071939, 201.713567, 18.374696, 187.566841, 16.657456, 173.195238, 14.137451, 157.906930, 11.210072, 143.527548, 8.079783, 129.695707, 5.048951, 115.292655, 2.403527, 101.507061, 0.693404, 87.440022, 0.000000, 73.103500, 0.965807, 59.196857, 3.744886, 44.759505, 8.819989, 30.853378, 16.131165, 17.401320, 26.943816, 5.438163, 41.272488, 0.000000, 55.385404, 1.976118, 67.954301, 12.611909, 73.595252, 26.703470, 77.225201, 41.365625, 78.294516, 56.625325, 78.783059, 70.292779, 78.069682, 85.311871, 75.576436, 99.596368, 73.197349, 113.896278, 71.370783, 128.426170, 72.544190, 143.284589, 74.911138, 157.129658, 76.744660, 171.553275, 78.016120, 186.379137, 79.119463, 201.715007, 76.833969, 215.813650, 64.679943, 228.314191, 55.748866, 230.647829, 50.391742, 231.096087
Type03, L, 235, 53.444858, 236.093284, 48.683233, 235.938529, 38.548392, 234.988691, 26.539052, 223.433957, 21.307551, 209.303366, 18.534840, 194.572234, 16.845757, 179.967558, 15.032473, 164.859221, 12.461914, 150.631455, 9.112587, 135.642828, 5.751946, 121.416695, 2.879471, 106.903991, 0.641732, 91.619254, 0.000000, 77.432775, 0.917690, 61.854410, 3.208008, 47.538732, 7.647659, 32.837785, 14.883592, 19.419337, 25.090670, 7.107953, 39.029344, 0.000000, 54.515159, 2.022134, 66.839589, 12.494179, 74.080133, 26.546670, 77.648757, 40.879774, 79.261477, 55.619347, 79.913469, 70.536291, 79.454073, 85.402185, 77.882585, 100.430769, 76.253039, 114.881612, 75.097655, 130.438699, 75.216675, 145.346273, 75.944304, 160.999240, 77.332028, 175.538268, 78.848830, 189.701722, 80.217380, 204.186335, 78.160940, 218.878265, 68.727362, 232.064777, 58.500752, 236.288721, 53.353702, 235.545220
Type03, L, 245, 53.787546, 246.345340, 48.476429, 245.892196, 37.847038, 244.239268, 26.368859, 230.799206, 21.906692, 216.533277, 18.680236, 199.740485, 17.305886, 184.770433, 14.518188, 169.289632, 11.511822, 154.082120, 8.251021, 138.487111, 4.923759, 122.471228, 2.331892, 107.226002, 0.534341, 91.659806, 0.000000, 76.297557, 1.241578, 60.470606, 4.714926, 45.503272, 10.179043, 30.946028, 17.342058, 16.709122, 28.631662, 4.214841, 44.611789, 0.000000, 59.843096, 4.022676, 71.991790, 17.025167, 77.479025, 31.380081, 80.383916, 47.473723, 81.925354, 62.292834, 83.304445, 77.401540, 82.531974, 93.108233, 79.909085, 107.996389, 77.099238, 122.864548, 76.339651, 138.459168, 77.227471, 154.040037, 79.153171, 169.004952, 81.110411, 183.683387, 82.826193, 199.324757, 83.206353, 214.678342, 80.686522, 229.780010, 69.873736, 244.011551, 58.846899, 245.874225, 53.925664, 246.215460
Type03, L, 250, 52.552313, 251.408348, 47.569816, 251.087513, 36.411078, 248.861842, 24.641224, 235.390109, 20.974128, 220.022779, 18.372394, 204.797796, 16.044560, 188.405123, 13.748994, 172.900692, 10.992066, 156.419034, 8.216679, 140.877137, 5.522336, 125.056037, 3.269954, 109.985020, 1.049011, 93.193158, 0.000000, 78.028184, 0.676078, 62.710834, 3.503690, 46.745562, 9.325364, 31.372776, 17.241046, 16.879959, 30.202986, 4.071942, 45.224915, 0.000000, 60.915530, 4.933348, 73.363349, 18.112539, 77.945001, 33.710485, 81.816914, 48.934934, 83.471116, 65.394200, 83.681174, 80.295376, 82.683420, 95.262767, 80.751842, 111.269409, 79.077745, 126.779951, 79.360726, 141.871130, 79.712851, 157.093055, 80.154228, 172.517390, 80.476985, 187.979877, 81.616856, 204.113876, 82.273419, 219.154960, 80.049152, 234.425113, 69.079728, 249.129812, 57.436145, 250.777509, 53.510713, 251.622305
