Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,8.51189,7.76368,2.66271,0.85664,2.64493,0.61629,0.43910,246.92310,0.95954,0.97931,0.00000
PCA_KRR,2,8.29841,7.63167,1.42178,0.55474,2.99669,0.71617,0.44880,232.91038,0.97138,0.98545,0.00000
PCA_KRR,3,8.30972,7.63155,0.97673,0.35375,3.32808,0.62051,0.60406,196.82208,0.98120,0.99051,0.00000
PCA_KRR,4,8.49954,7.82475,0.99129,0.26742,2.94790,0.50834,0.20219,204.57949,0.98851,0.99422,0.00000
PCA_LINEAR,1,8.93483,8.13810,5.20774,1.85556,1.87536,0.76223,0.19443,447.76820,0.92504,0.96092,0.00000
PCA_LINEAR,2,9.00921,8.22035,7.28778,2.06387,17.62445,1.70197,5.29467,707.53233,0.91607,0.95612,0.00000
PCA_LINEAR,3,9.06859,8.33662,4.36781,1.62890,4.90491,1.42583,0.52020,289.60011,0.92832,0.96274,0.00000
PCA_LINEAR,4,18.91431,18.66152,20.26630,5.07694,56.09426,4.61439,20.08493,1908.93041,0.83474,0.90991,0.00000
PCA_SVR,1,8.60817,7.88127,2.95557,0.86447,4.32045,0.60953,1.22930,228.70382,0.96029,0.97969,0.00000
PCA_SVR,2,8.16906,7.51526,1.72135,0.52530,4.84706,0.58234,1.04981,244.44331,0.97450,0.98706,0.00000
PCA_SVR,3,8.12832,7.46677,3.25132,0.70692,6.85413,0.58287,1.32082,301.56766,0.96786,0.98356,0.00000
PCA_SVR,4,8.72519,8.13039,1.52867,0.44001,3.91083,0.42379,1.52867,147.71868,0.97915,0.98947,0.00000
PURE_GPR,1,8.44443,7.69465,2.66279,0.89762,2.72809,0.60028,0.46794,222.77166,0.95913,0.97910,0.00000
PURE_GPR,2,8.29164,7.62780,1.62456,0.62322,3.09896,0.77803,0.37948,242.21039,0.96950,0.98448,0.00000
PURE_GPR,3,8.28953,7.60108,1.10260,0.39426,3.41541,0.68741,0.33038,199.02462,0.98001,0.98989,0.00000
PURE_GPR,4,8.49505,7.81587,0.99121,0.23363,2.93967,0.50929,0.00001,205.10454,0.98965,0.99480,0.00000
PURE_KRR,1,8.40324,7.65085,2.57555,0.85528,2.66464,0.57423,0.47967,222.55513,0.96073,0.97993,0.00000
PURE_KRR,2,8.28593,7.61988,1.37019,0.52613,2.99027,0.68054,0.34033,231.97946,0.97249,0.98602,0.00000
PURE_KRR,3,8.30961,7.62659,0.90753,0.32528,3.30928,0.61035,0.50239,195.07036,0.98247,0.99116,0.00000
PURE_KRR,4,8.49755,7.82153,0.98528,0.25298,2.92680,0.50910,0.16664,204.94731,0.98919,0.99457,0.00000
PURE_SVR,1,8.64394,7.85780,2.60887,0.84229,2.86625,0.60634,0.54522,230.10590,0.96251,0.98082,0.00000
PURE_SVR,2,8.21686,7.54509,1.46993,0.50099,3.07848,0.73021,0.20475,271.09731,0.97563,0.98762,0.00000
PURE_SVR,3,8.33733,7.66718,0.85804,0.28372,2.73747,0.65501,0.26929,192.83982,0.98456,0.99222,0.00000
PURE_SVR,4,8.49525,7.81856,0.97462,0.25040,2.80958,0.52842,0.10859,196.73151,0.98936,0.99465,0.00000
RATIO_CTRL,1,3.61460,3.31407,4.65704,1.71356,3.86577,3.07972,0.22937,633.00565,0.94080,0.96941,0.00000
RATIO_CTRL,2,2.88916,2.55542,4.81923,1.72945,4.75717,3.00332,0.29719,695.55300,0.93701,0.96725,0.00000
RATIO_CTRL,3,4.59938,3.80680,7.50690,3.10191,7.48994,6.00669,0.34630,1340.81880,0.88821,0.94078,0.00000
RATIO_CTRL,4,1.58869,1.45105,2.56223,0.87570,1.71472,1.34637,0.06610,411.55614,0.96470,0.98184,0.00000
