Merge_Step,Cluster_Idx_1,Cluster_Idx_2,Ward_Distance,Member_Count
1,3.0000,6.0000,1.4075,2.0000
2,0.0000,4.0000,3.2852,2.0000
3,1.0000,8.0000,3.4610,3.0000
4,5.0000,9.0000,4.7165,3.0000
5,10.0000,11.0000,5.2722,6.0000
6,2.0000,12.0000,5.9524,7.0000
7,7.0000,13.0000,8.1776,8.0000
