,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2390,5.6982,4.3539,3.3471,4.4936,4.0869,3.6249
Type01,4.2390,0.0000,6.6089,2.8711,3.8165,5.4391,3.0210,7.3416
Type02,5.6982,6.6089,0.0000,4.5023,4.1220,4.7346,4.1411,7.7631
Type03,4.3539,2.8711,4.5023,0.0000,2.9486,3.6581,1.1642,7.3313
Type04,3.3471,3.8165,4.1220,2.9486,0.0000,3.8252,3.3277,5.9853
Type05,4.4936,5.4391,4.7346,3.6581,3.8252,0.0000,4.1510,5.6161
Type06,4.0869,3.0210,4.1411,1.1642,3.3277,4.1510,0.0000,7.2210
Type07,3.6249,7.3416,7.7631,7.3313,5.9853,5.6161,7.2210,0.0000
