,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.3209,6.6519,4.5667,3.5311,4.5435,4.1966,4.1218
Type01,4.3209,0.0000,6.8493,3.1618,3.9306,5.6588,3.2733,7.7862
Type02,6.6519,6.8493,0.0000,4.1880,4.6506,4.8918,4.4515,8.2670
Type03,4.5667,3.1618,4.1880,0.0000,3.3966,3.9612,1.5015,7.7679
Type04,3.5311,3.9306,4.6506,3.3966,0.0000,4.5538,3.1189,6.2038
Type05,4.5435,5.6588,4.8918,3.9612,4.5538,0.0000,4.4225,5.8107
Type06,4.1966,3.2733,4.4515,1.5015,3.1189,4.4225,0.0000,7.4808
Type07,4.1218,7.7862,8.2670,7.7679,6.2038,5.8107,7.4808,0.0000
