Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
PCA_GPR,13.72641,12.91221,13.95018,3.50077,39.47382,3.18464,1423.38697,0.87541,0.93283,12.65447
PCA_KRR,11.19429,10.27012,3.95353,1.36698,5.87896,0.9777,306.19195,0.94086,0.9694,9.92546
PCA_LINEAR,11.13385,10.25825,3.81414,1.30211,5.70261,0.90219,310.15452,0.94343,0.97079,9.9331
PCA_SVR,11.33709,10.44775,4.43055,1.56662,6.24567,1.06848,329.73025,0.9345,0.9659,10.09117
PURE_GPR,11.30353,10.36707,4.898,1.5776,6.84998,0.97731,446.62655,0.92993,0.96349,10.00992
PURE_KRR,11.05486,10.12748,4.54422,1.5442,5.99979,1.04216,435.71837,0.93206,0.96459,9.78343
PURE_SVR,11.18503,10.24136,4.60893,1.53181,6.53171,1.05272,455.88995,0.9328,0.96499,9.88295
RATIO_CTRL,10.20031058,9.282870083,5.670545708,1.892644917,9.166060667,1.643446208,579.569539,0.923265083,0.959838,8.907037
