type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30
Type02, R, 230, 28.311576, 231.775213, 22.673768, 231.945981, 6.584324, 228.111665, 0.695554, 207.065854, 4.485437, 187.601411, 9.703996, 168.449554, 16.103861, 149.654722, 18.750795, 130.420710, 17.952007, 110.063156, 8.243980, 91.841887, 0.000000, 73.402318, 4.863887, 52.040436, 10.437761, 34.657879, 15.844322, 14.635244, 33.465977, 0.000000, 53.624458, 2.301557, 71.101545, 14.949340, 81.120308, 33.622389, 86.668763, 52.426920, 89.569120, 72.260313, 87.152711, 91.275899, 81.331318, 110.580208, 74.806534, 128.618787, 68.060648, 147.351114, 62.964838, 166.352563, 59.204677, 185.952348, 55.048494, 204.351856, 48.450612, 224.478681, 34.681249, 231.581219, 28.611720, 231.332971
Type02, R, 240, 30.699544, 241.433591, 24.309443, 242.167796, 9.078632, 237.422470, 0.000000, 216.237853, 2.551988, 196.752369, 8.100223, 176.230168, 12.720161, 156.540567, 18.092696, 136.809777, 15.439673, 116.026863, 4.807689, 97.286225, 3.031169, 76.789966, 0.912671, 55.687997, 7.636858, 36.101200, 11.964973, 15.342179, 30.212464, 0.000000, 50.341637, 2.066397, 68.475976, 15.462133, 79.439661, 34.108589, 86.094449, 53.864098, 89.161782, 74.297681, 86.920039, 94.814736, 81.578426, 114.585275, 75.978945, 133.964074, 70.066623, 153.757645, 65.513246, 173.179491, 61.506423, 193.545833, 57.456421, 213.256004, 52.112350, 233.052960, 37.187702, 241.500653, 31.218019, 240.847407
Type02, R, 250, 30.936968, 252.137402, 24.673546, 252.447083, 8.096256, 247.542056, 0.000000, 226.002915, 2.237698, 204.290328, 7.135430, 184.049441, 13.112225, 164.118369, 17.423783, 142.958266, 15.451444, 121.675601, 5.017718, 101.976119, 0.436809, 80.569143, 2.222951, 59.713052, 6.998287, 38.530223, 13.767603, 19.370775, 29.617551, 0.000000, 51.901001, 2.969120, 69.889754, 17.098784, 80.868632, 36.827435, 87.014704, 56.681282, 89.738756, 78.402420, 87.464592, 99.336938, 81.412670, 119.535086, 75.111564, 139.279436, 69.010448, 159.501180, 64.472953, 179.641268, 61.491758, 200.833014, 57.221083, 220.969724, 51.904882, 241.854722, 38.810360, 252.121247, 30.872830, 251.342011
Type02, R, 260, 32.347467, 261.947938, 25.590377, 262.249229, 9.445209, 257.166770, 0.000000, 233.942635, 5.040777, 212.255646, 11.320712, 191.041674, 16.125970, 169.531541, 20.440170, 148.846381, 18.248182, 125.499184, 7.527887, 105.258430, 1.673689, 82.697976, 2.314047, 60.284879, 9.143920, 39.168638, 13.801188, 17.884640, 32.570018, 0.000000, 55.176981, 2.933841, 73.960418, 17.670086, 85.661112, 38.109308, 90.910893, 59.573080, 94.965314, 81.929097, 93.602281, 103.985511, 87.593909, 125.161259, 81.234907, 146.040742, 75.265670, 166.732603, 69.255426, 187.803966, 64.674096, 210.126800, 61.923149, 231.579542, 55.628259, 253.723139, 39.977336, 263.000455, 32.437792, 261.058511
Type02, R, 270, 35.423037, 270.593273, 28.650329, 270.801380, 11.043463, 267.879398, 0.000000, 243.668181, 2.776547, 221.234127, 9.297742, 199.420125, 14.050767, 177.195672, 19.312897, 155.013123, 17.234470, 131.945300, 7.561186, 110.557313, 0.824007, 87.781442, 2.462577, 64.792745, 7.920568, 42.029104, 14.137211, 21.040445, 31.021940, 0.026119, 55.546072, 0.000000, 75.420122, 15.463958, 87.366429, 37.048970, 94.472705, 59.124908, 98.084795, 82.495122, 95.401484, 105.345900, 88.985630, 127.343501, 82.243001, 148.295112, 75.929839, 170.210923, 70.955878, 192.331532, 67.897805, 215.348872, 63.806379, 237.879552, 58.797425, 260.735945, 42.980769, 270.892181, 35.321229, 269.715799
Type03, R, 230, 32.588310, 230.940010, 27.045387, 230.609369, 12.888192, 228.808202, 0.000000, 210.828212, 0.372644, 190.626309, 1.417927, 172.105480, 4.395989, 152.418684, 6.391381, 133.226040, 5.321498, 113.606379, 2.500264, 94.257846, 0.383999, 74.958872, 0.116965, 55.388297, 3.933259, 36.091825, 10.309468, 17.642272, 23.797101, 0.000000, 44.865167, 0.178244, 61.339433, 12.532943, 70.496814, 31.545228, 75.736780, 50.117952, 78.026571, 69.873394, 77.918593, 88.846068, 75.776740, 109.192783, 72.336412, 128.151866, 68.528117, 147.266935, 65.245797, 166.258393, 62.381746, 185.184754, 58.746859, 204.334457, 52.486789, 223.626865, 38.972160, 231.802534, 32.823535, 229.987698
Type03, R, 235, 32.137911, 236.538180, 26.343851, 236.588579, 10.865489, 234.213503, 0.881476, 213.972896, 0.302794, 194.512957, 2.278551, 173.113330, 5.085434, 154.113387, 5.821888, 133.276888, 4.204862, 114.511841, 1.692822, 94.017836, 0.000000, 74.842286, 1.993656, 55.038513, 5.578567, 35.294426, 11.172053, 16.378034, 27.804262, 0.000000, 49.061284, 2.051684, 64.907095, 16.773630, 73.814628, 35.922047, 78.853443, 54.653442, 80.973472, 74.372798, 80.693118, 94.238704, 78.126117, 113.636875, 74.443274, 133.059411, 70.108737, 152.617359, 66.927661, 171.507439, 64.012930, 191.450837, 60.065780, 210.404220, 52.969513, 230.402489, 38.606113, 237.174201, 32.246936, 235.683157
Type03, R, 245, 33.864556, 245.950379, 27.491159, 246.437702, 12.382467, 242.932969, 0.000000, 222.858724, 0.545971, 202.840113, 2.641916, 182.711418, 3.760906, 162.295074, 4.407073, 141.278401, 4.199815, 120.769678, 2.019271, 100.198977, 0.349540, 79.661192, 0.794837, 59.952947, 5.031209, 38.828379, 12.272628, 20.844850, 24.680155, 0.775501, 47.410396, 0.000000, 64.991200, 14.122460, 73.611750, 33.658762, 79.360299, 54.569123, 81.974082, 74.804539, 81.460574, 94.756888, 77.808816, 116.138748, 74.638414, 135.698134, 70.793227, 157.051543, 67.528745, 176.358541, 63.530144, 197.386423, 60.583427, 217.190021, 55.136846, 237.267284, 40.350635, 245.812611, 34.565261, 245.445276
Type03, R, 250, 30.358413, 252.689473, 23.670857, 253.201311, 7.816498, 247.119522, 0.000000, 226.197009, 1.470707, 205.060721, 2.962745, 183.947471, 5.000371, 162.862784, 4.958569, 142.181597, 3.791429, 121.124406, 2.087587, 100.576239, 0.919884, 78.898244, 0.948861, 58.298132, 4.643664, 38.392167, 11.580337, 18.048789, 28.011294, 0.000000, 51.146166, 4.257343, 67.938079, 19.935457, 76.666874, 39.962284, 81.791399, 60.445871, 83.366241, 81.844766, 82.335460, 101.831417, 79.403506, 123.235436, 75.619084, 143.541349, 71.493016, 164.581597, 67.679948, 184.391066, 64.294244, 206.053697, 61.227511, 224.851895, 52.050643, 245.450690, 37.461982, 253.203592, 30.471283, 252.234604
Type03, R, 255, 35.159590, 256.462491, 28.948947, 256.138174, 12.631848, 255.007872, 0.009948, 234.421698, 0.154117, 212.704801, 1.857136, 190.550897, 3.651896, 170.051075, 3.970726, 147.499941, 3.326899, 126.256413, 1.468178, 105.422473, 0.000000, 84.219424, 0.399436, 62.966092, 3.937734, 41.378666, 11.475808, 21.496762, 25.372894, 1.576317, 48.928654, 0.000000, 67.540781, 15.110019, 76.327464, 35.116288, 82.126267, 56.932091, 84.635148, 78.141944, 84.047025, 99.488214, 80.292544, 120.630952, 76.477738, 141.797835, 73.134228, 162.404830, 69.936889, 184.124801, 67.443685, 205.097512, 62.639090, 226.688195, 56.952707, 247.785838, 43.004299, 257.293915, 34.765742, 255.192334
