Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
PCA_GPR,10.93307,10.25536,14.29694,3.66275,43.99717,3.98285,1615.52588,0.87462,0.93219,10.11229
PCA_KRR,7.25040,6.74221,4.54685,1.43893,9.34504,1.46554,445.45646,0.94407,0.97105,6.51426
PCA_LINEAR,7.06098,6.61665,4.39446,1.34118,9.09194,1.40768,424.72393,0.94685,0.97249,6.40552
PCA_SVR,7.26650,6.77166,4.80677,1.49092,9.50716,1.60872,445.89925,0.94244,0.97021,6.47338
PURE_GPR,7.39897,6.94267,5.76660,1.79565,13.17479,1.43165,483.98782,0.92909,0.96306,6.71296
PURE_KRR,7.38422,6.83915,5.19332,1.67541,10.41486,1.43597,458.04410,0.93520,0.96628,6.62495
PURE_SVR,7.52676,6.95539,5.34421,1.70667,11.11733,1.53683,492.46678,0.93436,0.96579,6.74111
RATIO_CTRL,2.29286,2.11191,3.06115,1.18729,2.92565,2.02524,428.85006,0.95669,0.97765,1.68545
