Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,IoU,Dice,,,,,,,,,
Type00,240,PCA_GPR,18.86555,18.0218,25.23159,6.39193,78.69526,6.93837,0.79052,0.88301,,,,,,,,,
Type00,240,PCA_KRR,10.00129,9.80991,9.82293,2.62469,29.651,2.49256,0.89583,0.94505,,,,,,,,,
Type00,240,PCA_LINEAR,10.07382,9.91521,10.13553,2.63165,30.93408,2.7408,0.89685,0.94562,,,,,,,,,
Type00,240,PCA_SVR,9.81589,9.60175,9.45329,2.50562,27.83903,2.30262,0.89979,0.94725,,,,,,,,,
Type00,240,PURE_GPR,10.55723,10.36437,10.34323,2.73379,31.62762,2.7354,0.88977,0.94167,,,,,,,,,
Type00,240,PURE_KRR,10.14412,9.94523,10.00593,2.70915,30.35073,2.48397,0.89133,0.94254,,,,,,,,,
Type00,240,PURE_SVR,10.45177,10.22447,10.57708,2.78809,31.50886,2.53812,0.88831,0.94085,,,,,,,,,
Type00,240,RATIO_CTRL,0,0,0,0,0,0,1,1,,,,,,,,,
Type00,245,PCA_GPR,16.39054,15.9097,20.01625,5.15224,61.67807,4.6992,0.8301,0.90716,,,,,,,,,
Type00,245,PCA_KRR,10.66074,10.48968,9.74598,2.62644,29.27115,1.74185,0.90102,0.94793,,,,,,,,,
Type00,245,PCA_LINEAR,10.63148,10.52759,9.96402,2.60349,29.77165,1.86895,0.90359,0.94936,,,,,,,,,
Type00,245,PCA_SVR,10.54395,10.36319,9.4326,2.57172,28.17563,1.59625,0.90214,0.94855,,,,,,,,,
Type00,245,PURE_GPR,10.6773,10.50666,9.67837,2.59469,29.43022,1.72243,0.90037,0.94758,,,,,,,,,
Type00,245,PURE_KRR,10.85029,10.67893,9.9629,2.7448,30.42901,1.69811,0.89528,0.94475,,,,,,,,,
Type00,245,PURE_SVR,11.06047,10.87974,10.28714,2.80771,31.20164,1.75271,0.89295,0.94345,,,,,,,,,
Type00,245,RATIO_CTRL,1.16713,1.03277,1.93616,0.64443,0.60813,0.50091,0.9744,0.98703,,,,,,,,,
Type00,255,PCA_GPR,10.63003,10.35191,10.1259,2.46912,27.99867,1.09887,0.90633,0.95087,,,,,,,,,
Type00,255,PCA_KRR,10.86385,10.31519,10.14026,2.58397,28.74666,1.36548,0.90072,0.94777,,,,,,,,,
Type00,255,PCA_LINEAR,10.60552,10.32741,10.07883,2.45706,27.84809,1.08547,0.90673,0.95108,,,,,,,,,
Type00,255,PCA_SVR,10.50745,10.03289,9.91904,2.71374,27.68885,1.31945,0.89818,0.94636,,,,,,,,,
Type00,255,PURE_GPR,11.16436,10.63802,10.37296,2.78942,30.20618,1.05312,0.88998,0.94179,,,,,,,,,
Type00,255,PURE_KRR,10.91665,10.40758,10.12659,2.84256,29.72607,1.16457,0.88901,0.94125,,,,,,,,,
Type00,255,PURE_SVR,10.63079,10.15324,9.75589,2.84546,28.37557,1.17382,0.89047,0.94206,,,,,,,,,
Type00,255,RATIO_CTRL,2.42612,2.28829,3.55984,1.16981,1.46833,0.50298,0.95187,0.97534,,,,,,,,,
Type00,265,PCA_GPR,6.05577,5.57936,3.39055,0.96881,3.54313,1.62316,0.95475,0.97685,,,,,,,,,
Type00,265,PCA_KRR,10.70852,10.60681,10.82926,2.05429,30.10306,1.68688,0.92722,0.96223,,,,,,,,,
Type00,265,PCA_LINEAR,10.6852,10.53767,10.44686,2.13813,28.11718,1.13035,0.92334,0.96014,,,,,,,,,
