Merge_Step,Cluster_Idx_1,Cluster_Idx_2,Ward_Distance,Member_Count
1,3.0000,6.0000,1.2617,2.0000
2,0.0000,4.0000,3.3317,2.0000
3,1.0000,8.0000,3.3994,3.0000
4,5.0000,9.0000,4.5560,3.0000
5,10.0000,11.0000,5.2809,6.0000
6,2.0000,12.0000,5.9348,7.0000
7,7.0000,13.0000,8.0887,8.0000
