,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2744,5.8908,4.4342,3.3317,4.4288,4.1039,3.8633
Type01,4.2744,0.0000,6.8020,2.9335,3.8240,5.4812,3.0861,7.5735
Type02,5.8908,6.8020,0.0000,4.3542,4.2074,4.7677,4.4002,7.8894
Type03,4.4342,2.9335,4.3542,0.0000,3.0793,3.7403,1.2617,7.6077
Type04,3.3317,3.8240,4.2074,3.0793,0.0000,4.1317,3.2500,6.0487
Type05,4.4288,5.4812,4.7677,3.7403,4.1317,0.0000,4.2066,5.6278
Type06,4.1039,3.0861,4.4002,1.2617,3.2500,4.2066,0.0000,7.4230
Type07,3.8633,7.5735,7.8894,7.6077,6.0487,5.6278,7.4230,0.0000
