Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Self (Ratio),0.000133,60
Type01,230,Self (Ratio),0.000114,60
Type02,230,Self (Ratio),0.000117,60
Type03,230,Self (Ratio),0.000106,60
Type04,230,Self (Ratio),0.000121,60
Type05,240,Self (Ratio),0.000122,60
Type06,230,Self (Ratio),0.000111,60
Type07,250,Self (Ratio),0.000113,60
