Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Type05,0.0126,60
Type01,230,Type03,0.0174,60
Type02,230,Type04,0.0175,60
Type03,230,Type06,0.0131,60
Type04,230,Type06,0.0132,60
Type05,240,Type00,0.0141,60
Type06,230,Type03,0.0178,60
Type07,250,Type00,0.0136,60
