Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Type05,0.0524,60
Type01,230,Type03,0.1911,60
Type02,230,Type04,0.1695,60
Type03,230,Type06,0.0744,60
Type04,230,Type06,0.0725,60
Type05,240,Type00,0.0695,60
Type06,230,Type03,0.1982,60
Type07,250,Type00,0.0703,60
