Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Chamfer_mean,GPR_Length_Error,KRR_RMSE,KRR_Hausdorff_max,KRR_Chamfer_mean,KRR_Length_Error,PCA_RMSE,PCA_Hausdorff_max,PCA_Chamfer_mean,PCA_Length_Error,RATIO_CTRL_RMSE,RATIO_CTRL_Hausdorff_max,RATIO_CTRL_Chamfer_mean,RATIO_CTRL_Length_Error,RATIO_OUTLINE_RMSE,RATIO_OUTLINE_Hausdorff_max,RATIO_OUTLINE_Chamfer_mean,RATIO_OUTLINE_Length_Error,SVR_RMSE,SVR_Hausdorff_max,SVR_Chamfer_mean,SVR_Length_Error
Type05,240,3.27004,4.37201,0.55295,4.49736,2.86209,1.52010,0.38332,0.01055,2.88368,2.07773,0.51469,0.83354,0.00000,0.00000,0.00000,0.00000,5.48996,3.09012,0.13767,5.49303,3.06085,1.34268,0.25575,0.96214
Type05,260,3.75029,5.64443,1.91009,10.05805,3.82356,6.24732,1.89572,11.94520,3.12724,4.46483,1.55256,1.47839,3.01904,4.64846,2.09568,4.60689,6.51038,4.68520,2.10404,1.34389,3.81405,6.65331,1.81524,12.37993
Type05,280,67.62137,10.36395,2.56577,11.74202,67.76137,10.35096,2.57164,10.37773,67.06999,4.85332,1.36982,4.71158,68.45843,6.44572,2.61687,6.75315,69.13442,6.42274,2.62081,0.34462,67.63970,10.36365,2.56668,11.53570
Type06,230,2.21923,2.53282,0.62327,0.87877,2.35411,0.84225,0.22799,0.52498,2.29117,1.29643,0.47341,0.05123,0.00000,0.00000,0.00000,0.00000,4.87814,3.09074,0.22539,7.09291,2.53453,0.81514,0.20368,1.73479
Type06,240,2.77317,2.83343,0.88929,0.72729,2.89545,3.11794,1.04669,0.72755,3.12323,2.82395,0.83967,2.63960,3.26426,2.58853,1.08027,4.28772,4.44879,3.28224,1.02920,3.11358,3.05893,2.71238,1.00153,0.83909
Type06,250,2.81368,2.25853,0.73609,5.16113,3.06522,2.28287,0.72539,3.10951,3.45742,1.88108,0.70575,0.73816,2.30781,2.89624,1.55192,2.76386,5.76617,3.29772,1.42476,4.94582,3.06189,1.92304,0.67127,3.51509
Type06,270,4.58092,4.76744,1.29638,6.12191,4.59598,4.86170,1.28830,4.62213,4.84291,3.98389,1.12051,4.29041,4.31928,5.25087,2.23074,4.65148,5.97692,5.22346,2.21518,3.67498,4.45034,5.28566,1.15099,6.26873
Type06,280,6.14234,6.05580,1.61774,11.75613,6.56785,4.49648,1.37818,0.87007,5.64793,4.00925,1.21930,7.16417,5.53222,5.23732,2.35348,4.36423,5.41665,5.24397,2.38317,4.27061,5.58371,4.43441,1.44927,6.25180
Type07,250,3.63025,10.07866,0.99155,13.56208,4.11589,9.71124,1.11834,13.49963,3.69511,9.92708,1.02058,11.26859,0.00000,0.00000,0.00000,0.00000,5.69512,3.39043,0.16131,5.31133,4.49400,10.00971,1.19130,12.92573
Type07,270,4.06070,8.17142,1.56044,17.68056,4.41886,9.44001,1.63928,22.46318,3.65764,9.25391,1.22933,4.33898,1.75616,2.53218,0.81168,1.42747,6.96904,3.67568,0.79953,7.16370,4.06327,9.73566,1.68028,23.80206
Type07,280,5.15208,9.24489,1.93210,20.04116,6.26837,9.22221,1.93417,20.21934,4.11339,9.09607,1.57831,4.27603,3.16166,5.49690,1.90115,1.13270,7.95296,5.40781,1.88269,4.81598,5.49397,9.23986,1.93653,21.60275
