Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,15.16107,14.07124,4.19830,0.96481,10.24864,1.96001,0.61439,456.36428,0.95977,0.97947,0.00000
PCA_KRR,2,14.76141,13.73463,4.08096,1.01186,8.79908,1.92393,0.54433,453.53254,0.96111,0.98015,0.00000
PCA_KRR,3,15.06146,14.00155,4.41629,1.26449,8.28245,1.17851,0.61333,501.69899,0.95176,0.97526,0.00000
PCA_KRR,4,15.48513,14.44873,4.30593,0.83244,8.88064,1.74971,0.18779,474.80017,0.96932,0.98442,0.00000
PCA_LINEAR,1,15.56176,14.71571,11.04018,3.05042,34.43025,2.50831,10.79745,868.27076,0.89132,0.94251,0.00000
PCA_LINEAR,2,13.48556,12.43803,7.36242,2.16102,19.46276,2.56534,4.97978,900.08507,0.92289,0.95974,0.00000
PCA_LINEAR,3,15.40780,14.35774,7.04471,1.96166,7.13490,1.02868,0.69812,712.60475,0.92726,0.96217,0.00000
PCA_LINEAR,4,15.48938,14.45869,4.29980,1.02916,8.91059,1.75234,0.15052,475.48369,0.96289,0.98109,0.00000
PCA_SVR,1,15.12518,14.09533,4.83980,1.19145,10.19506,1.82336,1.50959,463.11351,0.95332,0.97604,0.00000
PCA_SVR,2,14.70086,13.67402,4.09383,0.92936,8.89860,1.80091,1.01628,460.42377,0.96374,0.98153,0.00000
PCA_SVR,3,15.15266,14.09247,4.38481,1.22976,7.57783,1.12118,1.07432,476.31529,0.95248,0.97562,0.00000
PCA_SVR,4,15.71861,14.72709,4.27620,0.88775,7.23487,1.63274,1.49631,417.57635,0.96634,0.98287,0.00000
PURE_GPR,1,15.12343,14.02520,4.26485,0.98605,10.37563,1.93866,0.37066,454.25196,0.95918,0.97916,0.00000
PURE_GPR,2,14.82591,13.80245,4.17778,1.07577,8.80030,1.92166,0.52161,455.80256,0.95847,0.97877,0.00000
PURE_GPR,3,15.02730,13.95668,4.67697,1.30932,8.65873,1.20188,0.60292,523.38635,0.94694,0.97271,0.00000
PURE_GPR,4,15.48027,14.44264,4.29907,0.81042,8.88693,1.75039,0.15058,475.50913,0.97013,0.98484,0.00000
PURE_KRR,1,15.16198,14.06829,4.19230,0.95608,10.33367,1.96490,0.51153,459.07695,0.95998,0.97958,0.00000
PURE_KRR,2,14.75813,13.73395,4.07203,0.99482,8.74970,1.91553,0.48610,450.82192,0.96171,0.98047,0.00000
PURE_KRR,3,15.00208,13.93484,4.60282,1.27220,8.48914,1.18530,0.68746,517.59886,0.94799,0.97325,0.00000
PURE_KRR,4,15.48292,14.44628,4.30309,0.82060,8.86948,1.74943,0.16136,475.37335,0.96950,0.98451,0.00000
PURE_SVR,1,15.11305,14.03835,4.12973,0.94674,10.07079,1.99417,0.35816,459.85848,0.95996,0.97957,0.00000
PURE_SVR,2,14.76621,13.75741,4.30898,1.01933,8.52312,1.85010,0.47808,487.08626,0.95987,0.97950,0.00000
PURE_SVR,3,15.10699,13.99139,4.64028,1.28117,8.88329,1.20103,0.71728,532.17808,0.94855,0.97354,0.00000
PURE_SVR,4,15.48936,14.45294,4.30250,0.82085,8.78645,1.80007,0.10743,473.81757,0.96997,0.98475,0.00000
RATIO_CTRL,1,3.32704,2.83641,5.07909,2.21308,5.04185,4.37917,0.78570,954.62362,0.92264,0.95938,0.00000
RATIO_CTRL,2,2.99762,2.66294,4.87872,1.83004,3.99578,2.98613,0.68327,721.00442,0.93904,0.96838,0.00000
RATIO_CTRL,3,3.58014,3.28662,4.46636,1.69870,3.05400,3.04487,0.63902,551.67938,0.94309,0.97062,0.00000
RATIO_CTRL,4,1.48177,1.39913,2.09694,0.82967,1.77355,1.74156,0.13042,403.03998,0.97236,0.98586,0.00000
