Type,Cluster_ID,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
Type00,2,240,PCA_KRR,14.47356,13.51162,4.23145,0.82981,5.63058,1.67610,0.88754,227.03763,0.96961,0.98457,0.00000
Type00,2,240,PCA_LINEAR,11.21445,10.27776,10.62332,2.95554,39.23088,4.11857,10.62332,1363.55037,0.89656,0.94546,0.00000
Type00,2,240,PCA_SVR,14.51481,13.65486,4.24027,0.74476,3.19965,1.51152,1.37847,186.28495,0.97030,0.98493,0.00000
Type00,2,240,PURE_GPR,14.51764,13.56179,4.36819,0.85362,7.32797,1.89048,0.62969,352.57090,0.96547,0.98243,0.00000
Type00,2,240,PURE_KRR,14.39368,13.43828,4.23352,0.82639,5.85295,1.67171,0.73695,227.99306,0.96893,0.98422,0.00000
Type00,2,240,PURE_SVR,13.37490,12.45302,4.06533,0.72261,6.52715,1.73402,0.50970,326.86199,0.97188,0.98574,0.00000
Type00,2,240,RATIO_CTRL,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000
Type00,2,245,PCA_KRR,13.76808,12.78213,4.54294,1.03727,9.62126,2.18945,0.60858,653.01953,0.96075,0.97998,0.00000
Type00,2,245,PCA_LINEAR,11.19501,10.22971,11.07075,2.85496,39.53032,4.12058,11.07075,1520.52299,0.90170,0.94831,0.00000
Type00,2,245,PCA_SVR,13.74399,12.68337,4.45020,0.93924,12.30183,2.06446,1.32797,588.58218,0.96439,0.98187,0.00000
Type00,2,245,PURE_GPR,13.76140,12.75920,4.13513,1.01951,7.78108,2.03752,0.62742,582.78948,0.96227,0.98077,0.00000
Type00,2,245,PURE_KRR,13.82362,12.84249,4.55481,1.02264,9.50239,2.18501,0.47480,645.89772,0.96075,0.97998,0.00000
Type00,2,245,PURE_SVR,13.58272,12.64347,4.53114,1.25858,8.81934,2.30602,0.14184,728.71999,0.95508,0.97702,0.00000
Type00,2,245,RATIO_CTRL,2.46265,2.31715,2.90987,1.25064,0.61108,0.65450,0.51221,0.71194,0.95492,0.97694,0.00000
Type00,2,255,PCA_KRR,14.77209,13.66656,3.38614,1.06941,9.09544,1.42147,0.98898,162.22698,0.96189,0.98057,0.00000
Type00,2,255,PCA_LINEAR,11.86196,10.86848,11.31092,3.16954,40.37150,3.23711,11.31092,859.05409,0.89464,0.94439,0.00000
Type00,2,255,PCA_SVR,14.46400,13.39578,3.62790,0.85741,10.36991,2.03627,1.00349,452.39744,0.96491,0.98214,0.00000
Type00,2,255,PURE_GPR,14.44932,13.44074,3.51513,1.16614,7.66451,1.14271,0.48730,41.98854,0.95874,0.97893,0.00000
Type00,2,255,PURE_KRR,14.80445,13.72087,3.38317,1.04853,8.85550,1.42657,0.83514,166.65437,0.96170,0.98047,0.00000
Type00,2,255,PURE_SVR,15.13479,14.12923,3.95891,0.89236,6.89412,1.44272,0.36604,160.90567,0.96308,0.98119,0.00000
Type00,2,255,RATIO_CTRL,3.46596,2.82050,7.21921,2.18504,1.49474,2.85496,0.86488,990.91950,0.92415,0.96058,0.00000
Type00,2,265,PCA_KRR,15.77171,14.66448,4.49990,1.43255,8.87234,3.57090,0.83733,900.27687,0.94615,0.97233,0.00000
Type00,2,265,PCA_LINEAR,12.92632,11.62256,10.12866,3.39783,43.11178,5.97154,10.12866,1795.96471,0.88703,0.94013,0.00000
Type00,2,265,PCA_SVR,15.96762,14.91577,3.90451,0.78641,4.70283,2.08676,0.84850,361.01117,0.96832,0.98391,0.00000
Type00,2,265,PURE_GPR,17.58243,16.46256,5.40406,1.41812,10.90883,3.57855,1.83290,988.24445,0.94293,0.97063,0.00000
Type00,2,265,PURE_KRR,15.65649,14.55986,4.47415,1.44710,9.00512,3.57277,0.61952,905.85597,0.94670,0.97262,0.00000
Type00,2,265,PURE_SVR,15.80284,14.64524,5.16452,1.44023,7.55906,3.04648,1.49228,741.92330,0.94862,0.97363,0.00000
Type00,2,265,RATIO_CTRL,3.96909,3.81262,5.22200,2.34340,0.36237,1.43914,0.20644,400.57362,0.92069,0.95871,0.00000
Type00,2,270,PCA_KRR,15.47653,14.45546,3.58878,1.24849,5.96348,0.70180,0.40167,1.86878,0.95219,0.97551,0.00000
Type00,2,270,PCA_LINEAR,11.86722,10.94446,11.39860,3.11993,37.72606,3.31350,11.39860,997.77261,0.89311,0.94354,0.00000
Type00,2,270,PCA_SVR,15.25380,14.20128,3.99404,0.83753,6.39387,1.55936,0.97295,373.18245,0.95941,0.97928,0.00000
Type00,2,270,PURE_GPR,15.34503,14.30513,3.79341,1.24639,6.16257,0.80005,0.42266,39.41527,0.94929,0.97399,0.00000
Type00,2,270,PURE_KRR,15.45052,14.40747,3.56089,1.24230,6.14635,0.70298,0.52040,2.23160,0.95219,0.97551,0.00000
Type00,2,270,PURE_SVR,15.33194,14.30844,3.89453,1.47348,5.30515,0.02656,0.37128,232.63326,0.94534,0.97190,0.00000
Type00,2,270,RATIO_CTRL,4.71496,4.21537,8.07923,3.16254,5.60112,4.72363,1.10644,1378.73288,0.89220,0.94303,0.00000
Type00,2,275,PCA_KRR,16.19593,15.04222,4.50358,1.18265,12.19289,2.74797,1.09448,773.40638,0.95776,0.97843,0.00000
Type00,2,275,PCA_LINEAR,12.73104,11.70702,11.44292,3.18300,40.45202,5.41382,11.44292,1809.03271,0.89738,0.94591,0.00000
Type00,2,275,PCA_SVR,14.92992,13.69366,4.57867,1.50503,19.17256,2.56453,1.48769,942.10854,0.95056,0.97466,0.00000
Type00,2,275,PURE_GPR,15.63180,14.50082,4.29454,1.31901,11.19249,2.80174,1.27846,743.98333,0.95391,0.97641,0.00000
Type00,2,275,PURE_KRR,16.29600,15.14416,4.54486,1.13396,11.72663,2.70732,0.85160,750.36201,0.95953,0.97935,0.00000
Type00,2,275,PURE_SVR,16.49229,15.29484,4.43762,0.98960,11.60915,2.16933,1.37533,511.43541,0.96680,0.98312,0.00000
Type00,2,275,RATIO_CTRL,4.14085,3.87996,4.40844,1.98129,4.52515,3.32231,1.23381,751.89660,0.93354,0.96563,0.00000
Type01,3,230,PCA_KRR,13.79762,12.98109,3.23538,0.70691,4.73986,0.91522,0.45017,314.49625,0.97034,0.98495,0.00000
Type01,3,230,PCA_LINEAR,13.52019,12.71099,3.78112,0.93161,6.72231,0.82503,0.56518,272.87078,0.96433,0.98184,0.00000
Type01,3,230,PCA_SVR,14.51005,13.83120,3.62161,0.87271,0.50806,0.40183,2.33344,121.32578,0.96528,0.98233,0.00000
Type01,3,230,PURE_GPR,13.70323,12.85790,3.22896,0.72934,5.27856,1.17104,0.07253,303.16500,0.96877,0.98414,0.00000
Type01,3,230,PURE_KRR,13.76113,12.94132,3.26949,0.71746,5.00257,0.85258,0.39555,314.27970,0.96952,0.98452,0.00000
Type01,3,230,PURE_SVR,13.56217,12.72417,3.37727,0.69129,6.61871,0.98614,0.02705,362.77627,0.96939,0.98446,0.00000
Type01,3,240,PCA_KRR,13.75120,12.67341,4.49407,0.98095,9.75278,1.56811,0.43144,413.43802,0.96132,0.98028,0.00000
Type01,3,240,PCA_LINEAR,14.17553,12.99459,5.55952,1.59066,9.38758,0.74069,1.45427,335.94523,0.94111,0.96966,0.00000
Type01,3,240,PCA_SVR,13.69484,12.62467,4.02527,0.77933,9.97142,1.48193,0.95129,462.35573,0.96877,0.98414,0.00000
Type01,3,240,PURE_GPR,13.94053,12.84607,4.13629,0.95460,9.37861,0.95196,0.01798,389.76869,0.96152,0.98038,0.00000
Type01,3,240,PURE_KRR,13.74304,12.67736,4.50236,0.99888,9.70151,1.65187,0.46844,427.27131,0.96050,0.97985,0.00000
Type01,3,240,PURE_SVR,14.49164,13.32699,4.51891,0.71552,11.02322,1.25337,0.46164,500.62964,0.96777,0.98362,0.00000
Type01,3,240,RATIO_CTRL,4.25435,4.15518,3.05634,1.31033,1.21938,1.12763,0.83138,221.06611,0.95112,0.97495,0.00000
Type01,3,250,PCA_KRR,14.39710,13.44166,4.84873,1.29785,8.08513,0.42568,0.42277,453.20342,0.95330,0.97609,0.00000
Type01,3,250,PCA_LINEAR,14.05176,13.19563,5.20538,1.67507,9.96822,0.44077,0.92124,546.35757,0.93987,0.96901,0.00000
Type01,3,250,PCA_SVR,14.12970,13.20695,3.78555,0.76324,8.35106,0.97320,0.23891,446.80115,0.96978,0.98466,0.00000
Type01,3,250,PURE_GPR,14.30105,13.34246,4.74477,1.32015,9.17445,0.42663,0.44608,553.56820,0.95248,0.97566,0.00000
Type01,3,250,PURE_KRR,14.43624,13.50336,4.75540,1.23821,7.52300,0.45021,0.22719,430.23672,0.95612,0.97757,0.00000
Type01,3,250,PURE_SVR,15.77903,14.70559,5.99393,2.07278,6.75396,0.56816,0.31718,410.03878,0.92743,0.96235,0.00000
Type01,3,250,RATIO_CTRL,2.22265,1.89395,3.38987,1.22018,0.42827,2.42159,0.29487,314.74799,0.95713,0.97809,0.00000
Type01,3,260,PCA_KRR,14.67516,13.58353,4.89713,1.08235,9.07875,2.31864,0.10802,503.27130,0.95749,0.97828,0.00000
Type01,3,260,PCA_LINEAR,14.63860,13.70298,8.10501,2.63720,9.86669,3.20634,1.07575,539.38908,0.90746,0.95149,0.00000
Type01,3,260,PCA_SVR,14.75999,13.72691,4.28663,0.75024,8.21848,1.69381,0.01691,447.95585,0.97082,0.98519,0.00000
Type01,3,260,PURE_GPR,14.78985,13.78999,5.57406,1.61967,7.56317,2.89645,0.29303,472.83031,0.94212,0.97020,0.00000
Type01,3,260,PURE_KRR,14.65314,13.55354,4.81364,0.99829,9.29250,2.17906,0.15994,496.97907,0.96100,0.98011,0.00000
Type01,3,260,PURE_SVR,14.75780,13.72206,4.44509,0.76058,8.66639,1.71025,0.08906,463.62803,0.97029,0.98492,0.00000
Type01,3,260,RATIO_CTRL,5.47714,5.19819,7.04018,2.48878,0.97899,0.67647,0.40935,645.76470,0.91546,0.95587,0.00000
Type01,3,280,PCA_KRR,16.35378,15.40668,4.58660,1.05907,7.36437,0.86427,0.19152,405.52282,0.96454,0.98195,0.00000
