Type,size,GPR_RMSE,GPR_Hausdorff_max,GPR_Length_Error,GPR_Chamfer_mean,GPR_A_to_B_mean,GPR_A_to_B_median,GPR_A_to_B_p90,GPR_A_to_B_p95,GPR_A_to_B_max,GPR_B_to_A_mean,GPR_B_to_A_median,GPR_B_to_A_p90,GPR_B_to_A_p95,GPR_B_to_A_max,PCA_RMSE,PCA_Hausdorff_max,PCA_Length_Error,PCA_Chamfer_mean,PCA_A_to_B_mean,PCA_A_to_B_median,PCA_A_to_B_p90,PCA_A_to_B_p95,PCA_A_to_B_max,PCA_B_to_A_mean,PCA_B_to_A_median,PCA_B_to_A_p90,PCA_B_to_A_p95,PCA_B_to_A_max,RATIO_RMSE,RATIO_Hausdorff_max,RATIO_Length_Error,RATIO_Chamfer_mean,RATIO_A_to_B_mean,RATIO_A_to_B_median,RATIO_A_to_B_p90,RATIO_A_to_B_p95,RATIO_A_to_B_max,RATIO_B_to_A_mean,RATIO_B_to_A_median,RATIO_B_to_A_p90,RATIO_B_to_A_p95,RATIO_B_to_A_max
Type02,250,63.369888,8.399086,3.136677,2.569385,2.543412,1.783035,6.327448,7.608564,8.399086,2.595357,1.800437,6.463646,7.678404,8.399086,63.433533,5.629482,2.351015,1.924801,1.924177,1.111666,5.024431,5.202847,5.629482,1.925424,1.080068,5.019872,5.202254,5.629482,63.433533,5.629482,2.351015,1.924801,1.924177,1.111666,5.024431,5.202847,5.629482,1.925424,1.080068,5.019872,5.202254,5.629482
Type02,260,8.635225,8.245036,0.847514,2.247388,2.207962,1.831262,5.029999,7.212112,8.245036,2.286814,1.976486,5.329566,7.347331,8.245036,8.114939,3.274860,2.841339,1.254779,1.254646,0.917318,2.827273,3.151977,3.274860,1.254912,0.862820,2.854635,3.158696,3.274860,8.114939,3.274860,2.841339,1.254779,1.254646,0.917318,2.827273,3.151977,3.274860,1.254912,0.862820,2.854635,3.158696,3.274860
Type02,270,9.814144,8.274375,3.303679,2.445000,2.402371,1.883539,4.852137,7.273293,8.274375,2.487629,2.048753,5.132386,7.368599,8.274375,9.156301,3.560752,5.146194,1.474001,1.467443,1.462436,2.890283,3.271359,3.560752,1.480560,1.464147,2.890685,3.282827,3.560752,9.156301,3.560752,5.146194,1.474001,1.467443,1.462436,2.890283,3.271359,3.560752,1.480560,1.464147,2.890685,3.282827,3.560752
Type03,230,7.041446,1.192464,2.282028,0.347047,0.348124,0.281971,0.721830,0.863559,1.192464,0.345970,0.272345,0.746069,0.868110,1.192464,7.172862,1.466297,2.769353,0.526199,0.525340,0.516410,0.924582,0.995638,1.466297,0.527058,0.522054,0.929968,0.996547,1.466297,7.172862,1.466297,2.769353,0.526199,0.525340,0.516410,0.924582,0.995638,1.466297,0.527058,0.522054,0.929968,0.996547,1.466297
Type03,235,7.951019,2.474586,3.391040,0.767776,0.763100,0.637874,1.398889,2.047552,2.474586,0.772453,0.654969,1.402922,2.104545,2.474586,8.269991,2.615825,2.646999,0.772190,0.767770,0.643083,1.477677,2.208082,2.615618,0.776610,0.659932,1.502165,2.254759,2.615825,8.269991,2.615825,2.646999,0.772190,0.767770,0.643083,1.477677,2.208082,2.615618,0.776610,0.659932,1.502165,2.254759,2.615825
Type03,245,7.648676,2.449534,5.045917,1.028841,1.026997,0.845909,2.030659,2.181288,2.449534,1.030684,0.851125,2.035025,2.181974,2.449534,8.099613,1.925601,2.960196,0.802978,0.805190,0.577358,1.665906,1.778949,1.925601,0.800767,0.580138,1.649132,1.769013,1.922645,8.099613,1.925601,2.960196,0.802978,0.805190,0.577358,1.665906,1.778949,1.925601,0.800767,0.580138,1.649132,1.769013,1.922645
Type03,250,8.025913,2.979499,3.107646,1.111866,1.103311,0.867965,2.450109,2.718491,2.979499,1.120421,0.871280,2.477966,2.732454,2.979499,8.496425,2.971121,0.862356,1.079637,1.068751,0.944741,2.014207,2.375747,2.971121,1.090522,0.957263,2.015181,2.387301,2.971121,8.496425,2.971121,0.862356,1.079637,1.068751,0.944741,2.014207,2.375747,2.971121,1.090522,0.957263,2.015181,2.387301,2.971121
Type03,255,8.230768,3.062943,6.488317,0.979578,0.974546,0.729178,2.273848,2.538358,3.062943,0.984610,0.740170,2.288747,2.542643,3.062943,8.617341,2.852257,4.485814,0.984414,0.981010,0.743943,2.024313,2.220794,2.852257,0.987817,0.748712,2.031429,2.220794,2.852257,8.617341,2.852257,4.485814,0.984414,0.981010,0.743943,2.024313,2.220794,2.852257,0.987817,0.748712,2.031429,2.220794,2.852257
Type03,260,8.442701,3.025113,3.983233,1.175557,1.161173,0.946977,2.209232,2.505175,3.024636,1.189941,0.976950,2.268265,2.513684,3.025113,8.746459,2.919449,2.306317,0.798233,0.794252,0.569931,1.929233,2.412094,2.919449,0.802214,0.578646,1.959543,2.418152,2.919449,8.746459,2.919449,2.306317,0.798233,0.794252,0.569931,1.929233,2.412094,2.919449,0.802214,0.578646,1.959543,2.418152,2.919449
Type03,265,8.899806,5.113343,2.664329,1.608918,1.620328,1.175292,3.508618,4.202929,5.113343,1.597508,1.112620,3.489111,4.109200,5.113343,9.255978,5.413226,1.267240,1.561590,1.569743,1.350412,3.239305,4.137109,5.413226,1.553438,1.329039,3.213778,3.993616,5.413226,9.255978,5.413226,1.267240,1.561590,1.569743,1.350412,3.239305,4.137109,5.413226,1.553438,1.329039,3.213778,3.993616,5.413226
