Type,size,Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
Type02,250,PCA_LINEAR,16.42382,15.18826,5.61182,1.83776,8.79708,1.69166,358.98916,0.92541,0.96126,14.73626
Type02,250,PCA_SVR,17.51624,16.39840,7.58162,2.73907,1.55945,4.28456,757.42509,0.89445,0.94428,15.97209
Type02,250,PURE_GPR,16.92960,15.63571,6.20572,1.92490,11.09056,1.86525,135.80735,0.90972,0.95272,15.12323
Type02,250,PURE_KRR,17.11038,15.80428,6.93382,2.21009,9.18424,2.58442,22.50595,0.90079,0.94780,15.31131
Type02,250,PURE_SVR,16.90903,15.61396,6.67200,2.23606,9.33697,2.78049,45.30858,0.89993,0.94733,15.13426
Type02,250,RATIO_CTRL,3.59880,3.05653,6.02569,2.67141,6.72348,6.20555,1455.16914,0.89469,0.94442,3.04347
Type02,260,PCA_GPR,13.90737,12.54475,5.48492,2.29128,27.71692,2.17259,741.54385,0.91536,0.95581,12.38873
Type02,260,PCA_KRR,16.23642,14.85117,5.51617,1.54392,8.68333,0.50725,100.04675,0.93921,0.96865,14.33595
Type02,260,PCA_LINEAR,16.19851,14.95177,5.44753,1.46447,7.92950,0.71313,56.06970,0.94053,0.96935,14.45681
Type02,260,PCA_SVR,16.80569,15.26479,5.63206,1.49024,6.74765,0.76848,161.05386,0.94176,0.97001,14.65524
Type02,260,PURE_GPR,17.13541,15.57677,6.57947,1.82808,8.15914,0.58832,784.67563,0.89323,0.94360,14.93262
Type02,260,PURE_KRR,16.41070,14.96051,6.50318,1.82734,9.89333,0.52146,721.44641,0.90162,0.94826,14.40079
Type02,260,PURE_SVR,16.24781,14.83168,5.90323,1.69174,10.04723,0.80664,841.15886,0.90481,0.95003,14.26098
Type02,260,RATIO_CTRL,4.01488,3.32158,6.87666,2.65442,10.33887,5.23066,1346.69530,0.90427,0.94973,3.31448
