type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20
Type02, R, 250, 33.792758, 251.290580, 21.625288, 253.149818, 0.000000, 235.790008, 5.631391, 198.959976, 13.461412, 169.150450, 23.578770, 134.041584, 7.114391, 103.094260, 1.812977, 67.847806, 9.589614, 37.575433, 23.370310, 0.000000, 62.729244, 1.716125, 83.326912, 34.297654, 92.482825, 65.631049, 90.646118, 100.606443, 79.478362, 131.545256, 70.046037, 163.462701, 64.059225, 196.414288, 59.303889, 228.942440, 47.765199, 250.602675, 32.546692, 251.328678
Type02, R, 260, 35.960589, 261.882082, 24.610739, 264.266950, 0.000000, 244.773243, 10.447149, 207.865116, 18.103831, 175.804283, 27.290491, 140.198428, 11.059187, 106.978268, 3.086088, 70.293705, 11.932892, 38.154219, 25.826060, 0.000000, 67.925688, 2.993524, 88.842871, 36.158945, 97.698856, 69.973665, 98.287977, 105.912005, 86.394746, 139.003127, 77.748420, 171.700373, 67.686814, 206.288025, 66.039113, 241.148849, 50.564019, 263.298687, 34.827619, 261.799877
Type02, R, 270, 38.458275, 271.388618, 26.680582, 275.032872, 0.000000, 256.423432, 7.243902, 217.693037, 15.521033, 184.814969, 25.435215, 147.424445, 10.299959, 113.847659, 1.805614, 76.037211, 11.149996, 42.658694, 23.975297, 2.738848, 67.887807, 0.000000, 90.043106, 36.668769, 101.077770, 70.692533, 99.181883, 108.897498, 87.041024, 142.103710, 77.408691, 176.570186, 70.510402, 212.571740, 67.003235, 248.865271, 53.617537, 271.892944, 36.790323, 271.555028
Type03, R, 230, 33.594323, 231.741532, 24.443084, 233.667497, 0.874349, 221.651056, 0.842853, 187.925070, 4.599780, 159.002843, 8.277523, 127.026991, 3.531148, 97.189173, 0.000000, 65.039394, 4.553698, 36.514918, 17.335200, 2.252979, 53.310500, 0.000000, 72.011536, 30.884331, 78.547045, 60.243552, 79.477988, 91.667811, 74.650785, 122.876906, 68.658027, 152.951805, 63.543078, 183.083637, 59.429567, 213.544580, 45.982425, 233.148153, 32.699060, 231.603978
Type03, R, 235, 32.288920, 236.266465, 21.176820, 238.813210, 0.031691, 224.257105, 0.000000, 190.037975, 4.452911, 158.659617, 6.354588, 126.716268, 0.735816, 96.040549, 0.370379, 63.797571, 4.488463, 34.504740, 18.906775, 0.000000, 56.982444, 2.011826, 73.690244, 34.582683, 80.718822, 63.429043, 80.947018, 95.885305, 75.768958, 126.249782, 68.997660, 157.294320, 64.184175, 187.740572, 59.452241, 219.180444, 44.720902, 238.079156, 30.932583, 235.874114
Type03, R, 245, 35.051975, 247.255892, 24.711408, 249.926978, 0.267691, 234.093910, 2.111398, 200.423024, 4.962822, 169.266474, 5.966562, 135.254731, 3.796525, 103.549144, 0.000000, 69.837029, 6.778770, 40.372762, 18.278106, 4.219943, 56.723034, 0.000000, 75.512222, 33.956709, 82.643481, 65.296093, 83.302644, 98.059150, 76.363163, 130.605983, 71.870205, 163.071028, 64.689121, 195.037961, 62.029345, 227.623970, 48.328045, 247.004867, 34.236030, 247.385800
Type03, R, 250, 32.411465, 253.183638, 19.547605, 254.735548, 0.000000, 236.430657, 3.485778, 201.568455, 6.358972, 168.766786, 6.827200, 134.983724, 3.652640, 102.981070, 1.918671, 67.275808, 5.345821, 38.602256, 21.112851, 0.000000, 61.224087, 5.258283, 78.720319, 38.681243, 85.287359, 70.867283, 84.363473, 104.115453, 78.690613, 137.176485, 72.272254, 169.624708, 66.123107, 202.754169, 62.559872, 234.147026, 44.759774, 254.139115, 31.463665, 252.978923
Type03, R, 255, 36.411342, 257.321277, 25.528271, 259.772722, 0.356930, 247.115408, 1.297786, 208.861676, 4.649540, 176.857211, 5.340024, 140.700573, 2.847974, 108.632419, 0.000000, 73.437886, 5.200197, 42.091914, 18.333644, 4.316776, 58.700789, 0.000000, 78.293561, 35.096854, 85.236170, 67.788071, 85.862974, 102.388924, 78.488571, 135.585197, 73.518651, 168.928568, 68.765937, 202.897803, 63.186872, 236.783834, 51.009359, 258.513048, 34.930043, 257.104287
Type03, R, 260, 36.117994, 261.654520, 24.338288, 264.222605, 0.000000, 247.114437, 3.488212, 210.154197, 6.759527, 176.715643, 9.045317, 141.748857, 3.779116, 107.968142, 1.811597, 72.615754, 5.412199, 40.404104, 18.977221, 2.156705, 61.751896, 0.000000, 79.808264, 36.455950, 88.166427, 70.047038, 86.608865, 105.127795, 80.635973, 138.396669, 73.712756, 173.545496, 69.470533, 207.016734, 64.346409, 240.874327, 50.098717, 262.440099, 34.876983, 261.758205
Type03, R, 265, 36.281641, 265.719484, 24.348582, 268.228859, 0.000000, 249.014812, 4.891384, 212.557100, 6.896076, 177.921046, 9.608106, 142.347608, 4.114277, 107.630631, 2.898284, 71.255565, 9.177976, 38.906067, 24.146073, 0.072112, 66.809022, 0.000000, 84.528347, 36.696087, 90.688171, 70.210809, 90.855944, 107.174791, 83.580764, 141.159343, 76.170889, 176.480123, 69.482697, 210.827225, 66.760788, 245.828451, 49.311911, 266.647335, 35.035352, 265.439440
