Model,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Area_Error,IoU,Dice,EMD
PCA_GPR,18.26519,17.34087,15.03062,3.77599,41.33799,3.36271,1520.84925,0.87571,0.93299,17.05704
PCA_KRR,16.31461,15.22818,6.02308,1.705,10.31601,1.59978,428.71366,0.93573,0.96669,14.81278
PCA_LINEAR,16.39203,15.32288,6.13541,1.66151,10.84041,1.49466,411.72453,0.93698,0.96738,14.90796
PCA_SVR,16.41746,15.34134,6.39769,1.83094,10.20751,1.66084,422.67768,0.93183,0.96453,14.92816
PURE_GPR,16.47295,15.39497,6.2436,1.88606,10.66077,1.54788,527.07379,0.9217,0.95908,14.9895
PURE_KRR,16.24753,15.14577,6.08565,1.81537,10.56366,1.59657,526.86518,0.92551,0.96115,14.73744
PURE_SVR,16.48978,15.39737,6.31574,1.85991,11.851,1.69395,556.65366,0.92321,0.95987,14.98836
RATIO_CTRL,14.32790058,13.28850063,6.832656042,2.110748625,12.91329567,2.239883833,680.4447267,0.92071875,0.958470792,12.88231804
