Type,Base_Size,Matched_Type,Time_sec,Points
Type00,240,Self (Ratio),5.5e-05,20
Type01,230,Self (Ratio),5.1e-05,20
Type02,230,Self (Ratio),4.7e-05,20
Type03,230,Self (Ratio),5e-05,20
Type04,230,Self (Ratio),5.1e-05,20
Type05,240,Self (Ratio),5.3e-05,20
Type06,230,Self (Ratio),5e-05,20
Type07,250,Self (Ratio),5e-05,20
