Model,Cluster_ID,RMSE,MAE,Hausdorff_max,Chamfer_mean,Length_Error,Width_Error,Size_Error,Area_Error,IoU,Dice,EMD
PCA_KRR,1,12.75234,11.77836,3.43230,1.03988,6.40857,0.88665,0.49669,394.83455,0.95358,0.97619,0.00000
PCA_KRR,2,12.50783,11.58841,2.89486,0.81943,6.88931,1.40767,0.48465,366.17497,0.96321,0.98124,0.00000
PCA_KRR,3,12.31651,11.34589,2.89041,0.71498,8.39349,1.19690,0.76284,359.34405,0.96868,0.98409,0.00000
PCA_KRR,4,12.94594,12.01497,3.14286,0.57991,7.13370,1.28185,0.20836,375.52634,0.97666,0.98819,0.00000
PCA_LINEAR,1,13.09821,12.11860,5.57140,1.78245,4.97226,0.80185,0.47585,614.18545,0.92638,0.96166,0.00000
PCA_LINEAR,2,12.70132,11.79990,7.48030,2.20861,18.94264,2.00669,5.51522,809.33159,0.91444,0.95517,0.00000
PCA_LINEAR,3,10.04256,9.03609,11.23382,2.84845,39.12826,2.44426,11.23382,1078.91284,0.89515,0.94466,0.00000
PCA_LINEAR,4,23.33931,23.09215,20.70831,4.74804,53.61518,3.72389,20.66423,1807.75568,0.85198,0.91998,0.00000
PCA_SVR,1,12.81591,11.84700,3.52712,1.05392,6.17511,0.82761,1.04631,374.43098,0.95309,0.97592,0.00000
PCA_SVR,2,12.53701,11.64027,2.92953,0.75091,6.59859,1.35467,1.07905,360.10919,0.96760,0.98352,0.00000
PCA_SVR,3,11.96390,11.01491,4.33759,1.05083,10.95869,1.10399,1.52281,456.79142,0.95815,0.97853,0.00000
PCA_SVR,4,13.17790,12.30917,3.10966,0.68174,5.48425,1.16128,1.54890,319.14529,0.97148,0.98553,0.00000
PURE_GPR,1,12.69681,11.71188,3.41468,1.06421,6.62344,0.86120,0.40157,394.69813,0.95212,0.97543,0.00000
PURE_GPR,2,12.53142,11.61362,2.97503,0.86268,6.92892,1.39640,0.44679,372.89998,0.96211,0.98067,0.00000
PURE_GPR,3,12.21807,11.24134,2.87089,0.76997,8.44394,1.21821,0.53693,362.84230,0.96663,0.98303,0.00000
PURE_GPR,4,12.98350,12.04890,3.16031,0.55721,7.21091,1.28992,0.16085,387.93028,0.97342,0.98652,0.00000
PURE_KRR,1,12.66566,11.68526,3.42161,1.03707,6.51559,0.85277,0.51088,392.90219,0.95335,0.97606,0.00000
PURE_KRR,2,12.49967,11.58131,2.88100,0.80123,6.88427,1.40505,0.39600,365.46632,0.96391,0.98161,0.00000
PURE_KRR,3,12.33481,11.36057,2.89823,0.69574,8.38866,1.18731,0.65220,357.36719,0.96934,0.98443,0.00000
PURE_KRR,4,12.94280,12.01128,3.14319,0.56748,7.12157,1.28213,0.18053,375.91704,0.97746,0.98860,0.00000
PURE_SVR,1,12.80750,11.77936,3.46953,1.03202,6.71428,0.87228,0.55409,410.18991,0.95395,0.97637,0.00000
PURE_SVR,2,12.47217,11.55171,2.98828,0.81005,6.82830,1.38321,0.41139,412.19730,0.96493,0.98212,0.00000
PURE_SVR,3,12.28347,11.34051,2.80782,0.65401,7.69319,1.20167,0.38691,358.80385,0.97038,0.98497,0.00000
PURE_SVR,4,12.94728,12.01656,3.14510,0.56813,6.98259,1.31513,0.09937,368.59536,0.97706,0.98839,0.00000
RATIO_CTRL,1,3.63128,3.32335,4.57218,1.71270,3.10014,3.07037,0.51146,552.70090,0.93774,0.96777,0.00000
RATIO_CTRL,2,2.93223,2.61141,4.82967,1.78725,4.07325,3.01362,0.48173,668.44960,0.93804,0.96779,0.00000
RATIO_CTRL,3,4.80927,4.00204,7.75446,3.27897,6.90331,5.90561,1.06839,1317.38667,0.88882,0.94111,0.00000
RATIO_CTRL,4,1.49333,1.39538,2.23312,0.82229,1.44339,1.28252,0.24986,409.92395,0.96816,0.98367,0.00000
