type, side, size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38
Type01, L, 280, 58.732813, 281.800001, 52.842888, 281.762810, 39.934932, 279.633538, 26.939404, 263.530427, 23.513138, 245.559715, 20.330740, 227.552604, 18.013722, 209.104133, 15.061406, 192.039362, 11.903885, 173.158692, 8.339160, 155.968723, 4.892142, 137.933339, 1.534773, 120.496489, 0.000000, 102.038078, 0.272366, 84.201120, 3.186601, 66.789442, 7.710167, 49.929137, 14.685234, 32.967145, 24.081805, 16.099774, 39.599387, 3.146393, 58.460601, 0.000000, 75.797818, 10.166410, 84.458111, 27.546149, 87.553372, 44.939399, 90.305979, 62.858662, 90.577599, 80.267874, 88.544692, 98.816784, 87.150746, 115.944823, 86.471766, 134.668557, 87.072978, 152.496096, 89.104312, 170.513728, 90.971545, 187.965646, 89.354083, 205.485168, 89.186284, 224.411377, 89.074292, 242.564021, 87.336341, 259.209554, 77.786742, 277.170143, 64.500855, 281.422238, 59.318276, 281.265796
Type01, L, 290, 59.870424, 291.745069, 53.783643, 291.875181, 40.925416, 289.259211, 27.238310, 272.363932, 24.534188, 254.055492, 21.447491, 235.705481, 18.330271, 217.039832, 16.115442, 199.100263, 13.735597, 180.003283, 10.364018, 162.465331, 6.165474, 143.504218, 2.371228, 124.578717, 0.114240, 106.296942, 0.000000, 87.007884, 2.730214, 68.615054, 7.710015, 50.229004, 15.500647, 32.587771, 25.404461, 15.638300, 41.530320, 2.918311, 60.456961, 0.000000, 78.180340, 10.492662, 86.802256, 28.646035, 90.122480, 46.979662, 94.006876, 64.891881, 93.906913, 84.295811, 91.873461, 103.147402, 91.302935, 119.855884, 91.518097, 139.940875, 92.216165, 158.530534, 93.153293, 177.042494, 93.724104, 194.925656, 94.017474, 214.554853, 93.387758, 231.843754, 91.665292, 250.453567, 89.100184, 269.033181, 80.006987, 286.922222, 65.392073, 291.529298, 60.661629, 291.325831
Type02, L, 230, 62.750630, 231.432165, 58.217939, 231.124997, 47.164579, 229.183724, 36.239938, 216.300124, 31.904451, 201.648397, 28.610632, 186.779036, 25.494388, 171.853023, 22.158483, 157.395412, 18.034768, 142.160437, 13.362789, 128.028641, 7.683274, 113.406005, 3.026442, 99.125969, 0.157601, 83.540740, 0.000000, 68.716127, 1.849687, 53.887737, 5.916693, 39.182574, 12.077962, 24.707023, 21.962711, 11.196965, 35.800371, 3.320698, 50.868520, 0.000000, 66.427577, 5.367445, 75.577050, 19.698469, 81.030730, 33.595079, 83.382060, 48.500442, 86.631504, 63.768830, 86.320175, 78.336821, 81.166591, 93.363782, 75.530972, 108.083785, 71.093893, 123.126866, 72.245008, 139.167342, 75.664533, 153.376051, 80.424562, 168.777291, 84.159788, 182.405445, 86.815151, 197.148378, 86.468317, 212.631593, 78.475155, 227.741020, 67.269070, 231.396936, 63.161975, 231.330642
Type02, L, 250, 65.517492, 251.656928, 70.540536, 251.729144, 82.893562, 247.031072, 89.017185, 230.740316, 88.282907, 214.678671, 84.941616, 198.920359, 79.351357, 183.678268, 74.802461, 167.506995, 71.954386, 152.143276, 70.363371, 135.377901, 74.837897, 119.491171, 81.787244, 103.802863, 88.343329, 87.613722, 88.681415, 71.924425, 86.190693, 55.430945, 83.220603, 39.781924, 79.572711, 23.676519, 71.155031, 8.024424, 54.138236, 0.000000, 37.825850, 3.427275, 23.026827, 13.916447, 13.210612, 28.720512, 6.617835, 44.460927, 1.780875, 60.064946, 0.000000, 76.316436, 1.984703, 91.770900, 5.574237, 107.076270, 10.062231, 122.584718, 14.755083, 138.592083, 19.813284, 155.037976, 24.262363, 170.683898, 28.032373, 186.450327, 30.911346, 203.484769, 33.785323, 219.063239, 37.635323, 234.468771, 48.039029, 250.111360, 60.522806, 251.952466, 65.019506, 251.652051
Type02, L, 260, 65.960964, 261.459711, 61.032760, 261.744717, 49.214315, 257.764844, 37.928240, 242.522938, 32.902070, 226.256009, 30.299557, 209.198489, 27.604763, 192.292387, 23.991326, 176.964534, 19.370211, 159.817410, 13.785743, 143.283565, 8.062353, 126.717419, 3.197373, 109.873461, 0.043201, 93.560961, 0.000000, 76.104881, 1.963030, 60.321074, 6.430880, 43.601102, 13.436526, 27.633811, 24.250668, 12.934549, 39.789976, 2.646405, 56.518230, 0.000000, 73.277573, 8.733961, 82.333796, 24.103113, 86.072833, 41.031336, 89.572062, 57.146080, 92.645704, 74.147253, 91.850036, 90.685157, 85.234210, 106.770427, 78.419974, 122.591466, 75.601039, 139.504970, 76.098099, 156.709524, 78.879411, 173.256614, 82.957379, 189.514518, 87.728170, 206.245386, 92.393290, 223.016217, 92.402414, 240.145978, 83.429064, 256.699677, 71.400602, 261.245972, 65.997185, 261.245015
Type02, L, 270, 68.778981, 271.662572, 63.006965, 271.688056, 50.259836, 268.464036, 38.512819, 252.617657, 34.178586, 235.604468, 31.397432, 217.895470, 27.102798, 200.471568, 22.783895, 183.504649, 18.323413, 166.068524, 14.107580, 149.676294, 8.679308, 132.360329, 4.037260, 116.294907, 0.754170, 98.547981, 0.000000, 81.092899, 2.594493, 63.542924, 7.582530, 46.427131, 15.869732, 29.952541, 26.784676, 14.168973, 42.528048, 2.897576, 60.370602, 0.000000, 77.942318, 9.366287, 86.176352, 26.295540, 90.586997, 43.444178, 92.938093, 60.278030, 96.445443, 78.068518, 95.248163, 96.101785, 87.297556, 112.712190, 79.897931, 129.575423, 77.828485, 147.118912, 79.487730, 164.430670, 82.695052, 182.158456, 87.255940, 198.606100, 92.389772, 215.224268, 96.001041, 232.505231, 96.322192, 250.432846, 86.970179, 267.463307, 73.388943, 271.480223, 69.564114, 271.287944
Type03, L, 230, 50.388114, 230.999050, 46.127695, 230.599367, 35.191118, 228.394894, 25.016963, 215.317130, 20.653656, 200.349322, 18.089085, 185.869596, 16.248196, 170.913409, 13.584869, 155.235584, 10.478330, 140.625063, 7.291903, 126.379041, 4.202270, 111.454688, 1.708835, 97.591953, 0.246558, 82.636275, 0.000000, 68.356529, 1.681018, 53.636494, 5.330391, 39.089964, 11.619470, 24.824343, 20.256965, 11.459404, 33.774280, 1.461926, 48.308362, 0.000000, 62.966563, 6.457167, 71.648847, 20.691980, 75.918998, 35.077603, 78.043494, 51.082528, 78.525753, 65.462606, 78.482966, 80.369948, 76.245885, 95.538683, 73.686630, 110.035489, 71.498028, 124.945434, 71.954013, 140.268462, 74.475326, 154.654553, 76.413499, 169.313952, 77.805371, 184.548937, 78.968802, 200.305111, 77.234756, 214.947355, 65.054207, 227.968331, 55.741741, 230.585626, 50.347943, 230.929261
Type03, L, 235, 53.267138, 236.343299, 48.397864, 236.200278, 37.890644, 235.133811, 25.850483, 222.898475, 20.826824, 208.325689, 18.112575, 193.142818, 16.468264, 178.081004, 14.459936, 162.604069, 11.714986, 147.985211, 8.089130, 132.476228, 4.837964, 118.141415, 1.927793, 102.655995, 0.057043, 87.497339, 0.000000, 72.325154, 1.351832, 56.745668, 4.542258, 41.856319, 10.107986, 27.192547, 19.045405, 13.763835, 31.076072, 2.819660, 47.062999, 0.000000, 61.608599, 7.092296, 71.486226, 20.649330, 76.348240, 35.413752, 78.661828, 50.274725, 79.619777, 65.759734, 79.583780, 80.888699, 78.219649, 96.496591, 76.463628, 111.319029, 75.089892, 127.148853, 74.924473, 142.592925, 75.613543, 158.578290, 76.921701, 173.805305, 78.510219, 188.304238, 79.998573, 203.176373, 78.376127, 218.318723, 68.978552, 232.043500, 58.482968, 236.572763, 53.174891, 235.783860
Type03, L, 245, 53.636040, 245.657949, 48.244736, 245.260616, 37.156026, 243.342943, 25.826976, 229.329790, 21.408174, 214.516386, 18.339110, 197.197411, 16.888240, 181.993326, 13.836678, 165.913136, 10.781452, 150.412617, 7.296031, 134.084860, 4.061972, 117.847975, 1.545812, 102.123789, 0.090138, 86.153662, 0.000000, 70.210213, 2.143839, 54.125487, 6.502698, 38.899691, 12.880327, 24.291641, 21.503929, 9.481519, 36.054513, 0.440983, 52.526046, 0.000000, 67.081365, 9.765864, 75.684039, 24.487836, 79.233556, 40.214291, 81.291504, 56.385110, 82.807705, 71.269998, 82.952552, 87.651259, 80.623765, 103.065559, 77.547764, 118.339253, 76.145495, 134.139387, 76.825853, 150.324407, 78.627436, 165.789620, 80.730165, 180.882188, 82.523348, 196.807006, 83.144957, 212.755698, 80.929700, 228.186128, 70.268746, 243.149755, 58.811210, 245.229749, 53.819894, 245.508873
Type03, L, 250, 52.564336, 250.767008, 47.493325, 250.449844, 35.870337, 248.064674, 24.242383, 233.840339, 20.768520, 218.141192, 18.111902, 202.271428, 15.755616, 185.569385, 13.318029, 169.418597, 10.483739, 152.689487, 7.550971, 136.498952, 4.991941, 120.681296, 2.576921, 104.561319, 0.593544, 87.610872, 0.000000, 72.245979, 1.441443, 56.190148, 5.482804, 39.765946, 12.415529, 24.527256, 22.365508, 9.738233, 37.705907, 0.000000, 52.987103, 0.855795, 69.027541, 10.446765, 76.354734, 26.694595, 80.438943, 41.853658, 83.153942, 58.868437, 83.771364, 74.555948, 83.138462, 89.904353, 81.419836, 105.913117, 79.307865, 122.336756, 79.247014, 137.721430, 79.676851, 153.395783, 80.103787, 169.261066, 80.424724, 185.048139, 81.473994, 201.685288, 82.341938, 217.253630, 80.439554, 232.861615, 69.676128, 248.284908, 57.537906, 250.187360, 53.566329, 250.929480
