,Type00,Type01,Type02,Type03,Type04,Type05,Type06,Type07
Type00,0.0000,4.2515,5.7095,4.3455,3.2977,4.4863,4.1083,3.6532
Type01,4.2515,0.0000,6.6324,2.8764,3.7707,5.4378,3.0332,7.3761
Type02,5.7095,6.6324,0.0000,4.4806,4.1272,4.7857,4.1682,7.7940
Type03,4.3455,2.8764,4.4806,0.0000,3.0863,3.6753,1.1545,7.3462
Type04,3.2977,3.7707,4.1272,3.0863,0.0000,3.9154,3.2830,5.9911
Type05,4.4863,5.4378,4.7857,3.6753,3.9154,0.0000,4.1535,5.6212
Type06,4.1083,3.0332,4.1682,1.1545,3.2830,4.1535,0.0000,7.2684
Type07,3.6532,7.3761,7.7940,7.3462,5.9911,5.6212,7.2684,0.0000
